Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Eugenio Suarez 3B,159,575,87,156,22,2,49,103,329,70,189,3,.271,.358,.572,.930,4.5
Joey Votto 1B,144,525,79,137,32,1,15,47,216,76,123,5,.261,.357,.411,.768,1.6
Jose Iglesias SS,146,504,62,145,21,3,11,59,205,20,70,6,.288,.318,.407,.724,1.5
Jose Peraza 2B,141,376,37,90,18,2,6,33,130,17,58,7,.239,.285,.346,.631,-0.9
Nick Senzel CF,104,375,55,96,20,4,12,42,160,30,101,14,.256,.315,.427,.742,0.6
Yasiel Puig RF *,100,373,51,94,15,1,22,61,177,23,89,14,.252,.302,.475,.777,0.9
Jesse Winker RF,113,338,51,91,17,2,16,38,160,38,60,0,.269,.357,.473,.830,0.9
Tucker Barnhart C,115,316,32,73,14,0,11,40,120,44,83,1,.231,.328,.380,.708,0.6
Derek Dietrich 2B,113,251,41,47,8,2,19,43,116,28,74,1,.187,.328,.462,.790,0.9
Phillip Ervin RF,94,236,30,64,11,7,7,23,110,18,63,4,.271,.331,.466,.797,1.0
Josh VanMeter LF,96,228,33,54,13,1,8,23,93,29,56,9,.237,.327,.408,.735,0.2
Curt Casali C,84,207,24,52,9,0,8,32,85,25,59,0,.251,.331,.411,.741,1.2
Aristides Aquino LF,56,205,31,53,8,0,19,47,118,16,60,7,.259,.316,.576,.891,1.4
Kyle Farmer SS,98,183,22,42,6,0,9,27,75,10,59,4,.230,.279,.410,.689,0.2
Freddy Galvis SS *,32,107,12,25,4,0,5,16,44,7,33,0,.234,.284,.411,.696,-0.1
Scott Schebler RF,30,81,11,10,2,0,2,7,18,14,27,0,.123,.253,.222,.475,-0.5
Scooter Gennett 2B *,21,69,4,15,3,0,0,5,18,1,20,0,.217,.236,.261,.497,-0.9
Luis Castillo SP,31,62,3,6,1,0,0,0,7,0,32,0,.097,.097,.113,.210,-0.4
Matt Kemp LF,20,60,4,12,2,0,1,5,17,1,19,0,.200,.210,.283,.493,-0.9
Anthony DeSclafani SP,30,55,0,6,0,0,0,1,6,0,28,0,.109,.109,.109,.218,-0.3
Michael Lorenzen RP,105,48,6,10,2,0,1,6,15,5,17,5,.208,.283,.313,.596,0.4
Sonny Gray SP,32,46,3,7,0,1,0,3,9,2,19,0,.152,.188,.196,.383,0.0
Brian O'Grady LF,28,42,4,8,2,1,2,3,18,4,17,0,.190,.292,.429,.720,-0.1
Alex Blandino SS,23,36,6,9,1,0,1,3,13,10,14,0,.250,.420,.361,.781,0.2
Tyler Mahle SP,27,34,4,3,1,0,0,0,4,1,19,0,.088,.114,.118,.232,-0.2
Tanner Roark SP,19,33,2,5,1,0,1,2,9,0,13,0,.152,.152,.273,.424,0.0
Juan Graterol C,6,18,1,4,0,0,0,1,4,0,4,0,.222,.222,.222,.444,-0.2
Ryan Lavarnway C,5,18,4,5,2,0,2,7,13,1,5,0,.278,.316,.722,1.038,0.2
Trevor Bauer SP *,9,14,1,2,0,0,0,0,2,2,9,0,.143,.250,.143,.393,0.1
Alex Wood SP,7,9,0,2,0,0,0,0,2,0,5,0,.222,.222,.222,.444,0.1
Lucas Sims SP,23,8,0,1,0,0,0,0,1,0,5,0,.125,.125,.125,.250,0.0
Christian Colon 2B,8,6,1,3,0,0,0,1,3,0,0,0,.500,.625,.500,1.125,0.2
Jared Hughes RP,44,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Raisel Iglesias RP,64,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Sal Romano SP,12,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Cody Reed RP,3,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Robert Stephenson RP,57,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Matt Bowman RP,25,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joel Kuhnel RP,11,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
R.J. Alaniz RP,8,1,0,1,0,0,0,1,1,0,0,0,1.000,1.000,1.000,2.000,0.1
Keury Mella RP,2,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Amir Garrett RP,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5450,701,1328,235,27,227,679,2298,492,1436,80,.244,.317,.422,.738,
