Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Matt Holliday LF,158,636,120,216,50,6,36,137,386,63,126,11,.340,.405,.607,1.012,5.8
Troy Tulowitzki SS,155,609,104,177,33,5,24,99,292,57,130,7,.291,.359,.479,.838,6.5
Garrett Atkins 1B,157,605,83,182,35,1,25,111,294,67,96,3,.301,.367,.486,.853,0.1
Todd Helton 1B,154,557,86,178,42,2,17,91,275,116,74,0,.320,.434,.494,.928,4.2
Brad Hawpe 1B,152,516,80,150,33,4,29,116,278,81,137,0,.291,.387,.539,.926,1.3
Kazuo Matsui 2B,104,410,84,118,24,6,4,37,166,34,69,32,.288,.342,.405,.746,3.3
Yorvit Torrealba C,113,396,47,101,22,1,8,47,149,34,73,2,.255,.323,.376,.699,0.8
Willy Taveras CF,97,372,64,119,13,2,2,24,142,21,55,33,.320,.367,.382,.748,1.0
Ryan Spilborghs RF,97,264,40,79,14,1,11,51,128,28,45,4,.299,.363,.485,.848,1.0
Jamey Carroll 3B,108,227,45,51,9,1,2,22,68,28,34,6,.225,.317,.300,.616,0.2
Chris Iannetta C,67,197,22,43,8,3,4,27,69,29,58,0,.218,.330,.350,.681,0.3
Jeff G Baker 1B,85,144,17,32,2,2,4,12,50,13,40,0,.222,.296,.347,.643,-1.0
Cory Sullivan CF,72,140,19,40,6,1,2,14,54,9,25,2,.286,.336,.386,.721,0.0
Steve Finley CF,43,94,9,17,3,0,1,2,23,8,4,0,.181,.245,.245,.490,-1.2
Omar Quintanilla SS,27,70,6,16,4,0,0,5,20,5,15,0,.229,.280,.286,.566,-0.1
Jeff Francis RP,35,64,2,12,3,0,0,3,15,2,20,0,.188,.212,.234,.446,0.1
Josh Fogg RP,30,53,3,7,0,0,0,1,7,1,19,0,.132,.148,.132,.280,-0.3
Ian Stewart 3B,35,43,3,9,4,0,1,9,16,1,17,0,.209,.261,.372,.633,0.3
Aaron Cook SP,25,42,8,10,3,0,0,1,13,4,14,0,.238,.319,.310,.629,0.7
Clint Barmes SS,27,37,5,8,3,0,0,1,11,1,13,0,.216,.237,.297,.534,-0.3
John Mabry 1B,28,34,4,4,1,0,1,5,8,5,10,0,.118,.231,.235,.466,-0.3
Jason Hirsh SP,19,31,0,3,0,0,0,2,3,1,17,0,.097,.125,.097,.222,-0.3
Ubaldo Jimenez SP,15,24,0,2,0,0,0,0,2,3,6,0,.083,.185,.083,.269,-0.1
Taylor Buchholz RP,41,23,0,3,0,0,0,1,3,2,11,0,.130,.200,.130,.330,-0.1
Rodrigo Lopez SP,14,22,0,1,0,0,0,0,1,1,13,0,.045,.087,.045,.132,-0.2
Geronimo Gil C,5,14,1,1,0,0,0,0,1,1,5,0,.071,.133,.071,.205,-0.2
Franklin Morales RP,8,13,1,4,0,0,0,1,4,1,5,0,.308,.357,.308,.665,0.2
Joe Koshansky 1B,17,12,0,1,1,0,0,2,2,2,5,0,.083,.200,.167,.367,-0.1
Mark Redman SP *,5,8,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Seth Smith RF,7,8,4,5,0,1,0,0,7,0,1,0,.625,.625,.875,1.500,0.2
Elmer Dessens RP *,5,6,2,0,0,0,0,0,0,2,2,0,.000,.250,.000,.250,0.0
Matt Herges RP,35,6,0,0,0,0,0,0,0,0,5,0,.000,.000,.000,.000,-0.1
Edwin Bellorin C,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.1
Alberto Arias RP,6,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Byung-Hyun Kim RP *,3,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Sean Barker CF,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0.0
Tom Martin RP,26,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.1
Tim Harikkala RP,1,1,0,1,0,0,0,1,1,0,0,0,1.000,1.000,1.000,2.000,0.1
Ramon Ortiz SP *,10,1,1,1,0,0,0,1,1,1,0,0,1.000,1.000,1.000,2.000,0.1
Zach McClellan RP,12,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Denny Bautista SP,9,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
LaTroy Hawkins RP,62,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Dan Serafini RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Bobby Keppel RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jeremy Affeldt RP,75,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Morillo RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Speier RP,20,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jorge Julio RP *,58,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Darren Clarke RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ramon Ramirez RP,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
