Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jose Reyes SS,153,647,122,194,30,17,19,81,315,53,81,64,.300,.354,.487,.841,5.6
David Wright 3B,154,582,96,181,40,5,26,116,309,66,113,20,.311,.381,.531,.912,3.8
Carlos Delgado 1B,144,524,89,139,30,2,38,114,287,74,120,0,.265,.361,.548,.909,2.5
Paul Lo Duca C,124,512,80,163,39,1,5,49,219,24,38,3,.318,.355,.428,.783,2.2
Carlos Ivan Beltran OF,140,510,127,140,38,1,41,116,303,95,99,18,.275,.388,.594,.982,8.0
Jose Valentin 2B,137,384,56,104,24,3,18,62,188,37,71,6,.271,.330,.490,.820,3.4
Endy Chavez RF,133,353,48,108,22,5,4,42,152,24,44,12,.306,.348,.431,.779,1.6
Cliff Floyd LF,97,332,45,81,19,1,11,44,135,29,58,6,.244,.324,.407,.731,-0.5
Xavier Nady RF *,75,265,37,70,15,1,14,40,129,19,51,2,.264,.326,.487,.813,0.5
Chris Woodward 1B,83,222,25,48,10,1,3,25,69,23,55,1,.216,.289,.311,.600,-1.1
Lastings Milledge LF,56,166,14,40,7,2,4,22,63,12,39,1,.241,.310,.380,.689,-0.7
Julio Franco 1B,95,165,14,45,10,0,2,26,61,13,49,6,.273,.330,.370,.699,-0.1
Kazuo Matsui 2B *,38,130,10,26,6,0,1,7,35,6,19,2,.200,.235,.269,.505,-0.4
Ramon Castro C,40,126,13,30,7,0,4,12,49,15,40,0,.238,.322,.389,.711,0.3
Shawn Green RF *,34,113,14,29,9,0,4,15,50,8,18,0,.257,.325,.442,.768,-0.1
Anderson Hernandez 2B,25,66,4,10,1,1,1,3,16,1,12,0,.152,.164,.242,.407,-0.5
Michael Tucker RF,35,56,3,11,4,0,1,6,18,16,14,2,.196,.378,.321,.700,0.1
Tom Glavine SP,32,53,6,9,1,0,0,2,10,7,18,0,.170,.267,.189,.455,0.4
Steve Trachsel SP,30,50,4,7,1,0,1,2,11,4,13,0,.140,.218,.220,.438,0.2
Pedro Martinez SP,23,38,2,4,1,0,0,1,5,2,16,0,.105,.150,.132,.282,-0.2
Orlando Hernandez SP *,20,35,4,5,0,1,0,2,7,0,10,1,.143,.143,.200,.343,0.1
Eli Marrero LF *,25,33,4,6,1,0,2,5,13,4,15,2,.182,.282,.394,.676,0.0
Ricky Ledee LF *,27,32,4,3,1,0,1,1,7,4,6,0,.094,.194,.219,.413,-0.2
John Maine RP,16,28,3,1,1,0,0,0,2,0,16,0,.036,.069,.071,.140,-0.2
Mike DiFelice C,15,25,3,2,1,0,0,1,3,5,10,0,.080,.233,.120,.353,-0.4
Darren Oliver RP,45,15,2,2,1,0,0,2,3,1,7,0,.133,.188,.200,.388,0.0
Oliver Perez RP *,7,13,0,1,0,0,0,0,1,2,4,0,.077,.200,.077,.277,0.0
Brian Bannister SP,8,12,2,4,3,0,0,2,7,0,3,0,.333,.333,.583,.917,0.2
Kelly Stinnett C *,7,12,0,1,0,0,0,0,1,0,4,0,.083,.083,.083,.167,-0.1
Alay Soler SP,8,11,0,1,0,0,0,0,1,0,6,0,.091,.091,.091,.182,-0.1
Victor Diaz RF,6,11,0,2,1,0,0,2,3,0,5,0,.182,.182,.273,.455,-0.1
Dave Williams SP *,6,9,1,2,0,0,0,0,2,2,4,0,.222,.364,.222,.586,0.1
Mike Pelfrey SP,4,9,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Victor Zambrano SP,5,5,0,0,0,0,0,0,0,0,1,0,.000,.167,.000,.167,0.0
Jose Lima SP,4,5,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Geremi Gonzalez RP *,3,3,1,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,0.0
Pedro Feliciano RP,64,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Heath Bell RP,22,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Duaner Sanchez RP,49,1,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0.0
Jorge Julio RP *,18,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Bartolome Fortunato RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Roberto Hernandez RP *,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aaron Heilman RP,74,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Billy Wagner RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Philip Humber SP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chad Bradford RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Guillermo Mota RP *,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Henry Owens RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Royce Ring RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5558,834,1469,323,41,200,800,2474,547,1071,146,.264,.334,.445,.780,
