Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Ty Wigginton 3B,156,573,73,146,36,6,11,71,227,46,124,12,.255,.318,.396,.714,-0.4
Roger Cedeno LF,148,484,70,129,25,4,7,37,183,38,86,14,.267,.320,.378,.698,-0.9
Jason Phillips C,119,403,45,120,25,0,11,58,178,39,50,0,.298,.373,.442,.815,0.9
Cliff Floyd LF,108,365,57,106,25,2,18,68,189,51,66,3,.290,.376,.518,.894,2.5
Timo Perez LF,127,346,32,93,21,0,4,42,126,18,29,5,.269,.301,.364,.665,-0.7
Joe McEwing 2B,119,278,31,67,11,0,1,16,81,25,57,3,.241,.309,.291,.601,0.1
Jose Reyes SS,69,274,47,84,12,4,5,32,119,13,36,13,.307,.334,.434,.769,2.2
Vance Wilson C,96,268,28,65,9,1,8,39,100,15,56,1,.243,.293,.373,.666,0.4
Roberto Alomar 2B *,73,263,34,69,17,1,2,22,94,29,40,6,.262,.336,.357,.693,-0.3
Tony Clark 1B,125,254,29,59,13,0,16,43,120,24,73,0,.232,.300,.472,.772,-0.9
Mike Piazza C,68,234,37,67,13,0,11,34,113,35,40,0,.286,.377,.483,.860,2.0
Jeromy Burnitz RF *,65,234,38,64,18,0,18,45,136,21,55,1,.274,.344,.581,.925,0.7
Raul Gonzalez UN,107,217,28,50,12,2,2,21,72,27,34,3,.230,.317,.332,.649,0.2
Rey Sanchez 2B *,56,174,11,36,3,1,0,12,41,8,18,1,.207,.240,.236,.476,-1.0
Jeff Duncan OF,56,139,13,27,0,2,1,10,34,17,41,4,.194,.291,.245,.536,-0.9
Jay Bell 2B,72,116,11,21,1,0,0,3,22,22,38,0,.181,.319,.190,.509,-1.1
Tsuyoshi Shinjo CF,62,114,10,22,3,0,1,7,28,6,12,0,.193,.238,.246,.483,0.1
Mo Vaughn 1B,27,79,10,15,2,0,3,15,26,14,22,0,.190,.323,.329,.652,-0.8
Marco Scutaro 2B,48,75,10,16,4,0,2,6,26,13,14,2,.213,.333,.347,.680,-0.1
Steve Trachsel SP,36,58,3,11,2,0,0,4,13,2,16,0,.190,.213,.224,.437,0.1
Jorge Velandia SS,23,58,6,11,3,1,0,8,16,10,15,0,.190,.304,.276,.580,0.1
Danny Garcia 2B,19,56,5,12,2,0,2,6,20,2,11,0,.214,.274,.357,.631,-0.1
Tom Glavine SP,33,53,4,8,1,0,0,3,9,4,13,0,.151,.211,.170,.380,0.2
Al Leiter SP,30,53,2,1,0,0,0,0,1,2,28,0,.019,.055,.019,.073,-0.6
Jae Seo SP,35,51,3,5,1,0,0,0,6,3,19,0,.098,.148,.118,.266,-0.1
Prentice Redman LF,15,24,3,3,1,0,1,2,7,1,9,2,.125,.192,.292,.484,-0.5
Matt Watson LF,15,23,0,4,2,0,0,2,6,1,5,0,.174,.208,.261,.469,-0.1
Aaron Heilman RP,14,22,1,1,0,0,0,1,1,1,13,0,.045,.087,.045,.132,-0.2
Pedro Astacio SP,7,11,1,1,0,0,0,0,1,0,2,0,.091,.091,.091,.182,-0.1
Jeremy Griffiths P,9,9,0,0,0,0,0,0,0,1,3,0,.000,.100,.000,.100,-0.1
Mike Glavine 1B,6,7,0,1,0,0,0,0,1,0,2,0,.143,.143,.143,.286,-0.1
David Cone SP,5,4,0,1,0,0,0,0,1,0,1,0,.250,.250,.250,.500,0.1
David Weathers RP,77,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Pedro Feliciano RP,23,3,0,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,0.0
Mike Bacsik Jr. SP,5,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Joe DePastino C,2,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Jason Roach SP,2,2,0,2,0,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000,0.1
Dan Wheeler RP,35,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pat Strange RP,6,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Strickland RP,19,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Stanton RP,50,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Armando Benitez RP *,45,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Edwin Almonte RP,12,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jaime Cerda RP,27,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Orber Moreno P,7,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
John Franco 2B,38,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Graeme Lloyd RP *,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Grant Roberts RP,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Anderson RP *,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Middlebrook RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,161,5341,642,1317,262,24,124,607,1999,489,1035,70,.247,.314,.374,.688,
