Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Mike Cameron CF,140,493,76,114,30,1,30,76,236,57,143,22,.231,.319,.479,.798,1.3
Kazuo Matsui 2B,114,460,65,125,32,2,7,44,182,40,97,14,.272,.331,.396,.727,0.8
Mike Piazza C,129,455,47,121,21,0,20,54,202,68,78,0,.266,.362,.444,.806,-0.1
Cliff Floyd LF,113,396,55,103,26,0,18,63,183,47,103,11,.260,.352,.462,.814,0.6
Jason Phillips C,128,362,34,79,18,0,7,34,118,35,42,0,.218,.298,.326,.624,-0.8
Todd Zeile 1B,137,348,30,81,16,0,9,35,124,44,83,0,.233,.319,.356,.675,-0.5
Richard Hidalgo RF *,86,324,46,74,11,1,21,52,150,27,76,3,.228,.296,.463,.759,0.8
Ty Wigginton 3B *,86,312,46,89,23,2,12,42,152,23,48,6,.285,.334,.487,.821,0.9
Eric Valent RF,130,270,39,72,15,2,13,34,130,28,61,0,.267,.337,.481,.818,0.1
David Wright 3B,69,263,41,77,17,1,14,40,138,14,40,6,.293,.332,.525,.857,2.0
Jose Reyes SS,53,220,33,56,16,2,2,14,82,5,31,19,.255,.271,.373,.644,0.4
Karim Garcia RF *,62,192,24,45,7,2,7,22,77,10,35,3,.234,.272,.401,.673,-0.9
Shane Spencer LF,74,185,21,52,10,1,4,26,76,13,37,6,.281,.332,.411,.742,0.3
Vance Wilson C,79,157,18,43,10,1,4,21,67,11,24,1,.274,.335,.427,.762,0.8
Danny Garcia 2B,58,138,23,32,7,1,3,17,50,22,34,3,.232,.371,.362,.733,0.2
Joe McEwing 2B,75,138,17,35,3,1,1,16,43,9,32,4,.254,.297,.312,.609,-0.3
Wilson Delgado SS,42,130,11,38,4,1,2,13,50,15,29,1,.292,.366,.385,.750,0.7
Gerald Williams LF,57,129,17,30,8,2,4,11,54,8,26,2,.233,.277,.419,.696,-0.1
Jeff Keppinger 2B,33,116,9,33,2,0,3,9,44,6,7,2,.284,.317,.379,.696,-0.2
Ricky Gutierrez 2B *,24,63,2,11,2,0,0,5,13,6,8,0,.175,.257,.206,.463,-0.4
Steve Trachsel SP,35,59,6,11,1,0,0,5,12,1,17,0,.186,.200,.203,.403,0.1
Tom Glavine SP,35,54,5,11,2,0,0,8,13,10,10,0,.204,.328,.241,.569,0.6
Al Leiter SP,30,54,0,5,1,0,0,0,6,3,30,0,.093,.140,.111,.251,-0.2
Victor Diaz RF,15,51,8,15,3,0,3,8,27,1,15,0,.294,.321,.529,.850,0.0
Craig Brazell 1B,24,34,3,9,2,0,1,3,14,1,7,0,.265,.286,.412,.697,0.0
Jae Seo SP,26,32,2,5,1,0,0,1,6,2,9,1,.156,.229,.188,.416,0.1
Kris Benson SP *,11,19,1,1,0,0,0,2,1,1,9,0,.053,.100,.053,.153,-0.1
Jeff Duncan OF,13,15,2,1,0,0,0,1,1,1,5,3,.067,.125,.067,.192,-0.1
Matt Ginter SP,15,14,1,3,1,0,0,1,4,2,5,0,.214,.313,.286,.598,0.2
Tyler Yates RP,21,11,0,1,0,0,0,0,1,0,5,0,.091,.091,.091,.182,-0.1
Aaron Heilman RP,5,7,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Victor Zambrano SP *,3,6,0,1,0,0,0,0,1,0,1,0,.167,.167,.167,.333,0.0
Dan Wheeler RP *,32,5,1,1,0,0,0,0,1,0,1,0,.200,.200,.200,.400,0.1
Tom Wilson C *,4,4,0,1,0,0,0,0,1,1,2,0,.250,.400,.250,.650,-0.1
Brian Buchanan OF *,2,3,0,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,-0.2
Scott Erickson SP *,2,3,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Mike Stanton RP,83,2,0,1,0,0,0,1,1,0,1,0,.500,.500,.500,1.000,0.1
Ricky Bottalico RP,60,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Braden Looper RP,71,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
James Baldwin RP,2,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Heath Bell RP,17,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Orber Moreno P,33,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Weathers RP *,32,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Bartolome Fortunato RP *,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
John Franco 2B,52,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Parra RP,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Grant Roberts RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike DeJean RP *,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pedro Feliciano RP,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Esix Snead OF,1,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Vic Darensbourg RP *,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joe Hietpas RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5532,684,1376,289,20,185,658,2260,512,1159,107,.249,.317,.409,.726,
