,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,Wins
2007,162,5688,892,1558,326,41,213,850,2605,641,1205,138,.274,.354,.458,.812,80
2008,162,5509,799,1407,291,36,214,762,2412,586,1117,136,.255,.332,.438,.770,86
2009,162,5578,820,1439,312,35,224,788,2493,589,1155,119,.258,.334,.447,.781,86
2010,162,5581,772,1451,290,34,166,736,2307,560,1064,108,.260,.332,.413,.745,88
2011,162,5579,713,1409,258,38,153,693,2202,539,1024,96,.253,.323,.395,.717,85
2012,162,5544,684,1414,271,28,158,659,2215,454,1094,116,.255,.317,.400,.716,89
2013,162,5456,610,1355,255,32,140,578,2094,417,1205,73,.248,.306,.384,.690,92
2014,162,5603,619,1356,251,27,125,584,2036,443,1306,109,.242,.302,.363,.665,93
2015,162,5529,626,1374,272,37,130,586,2110,387,1274,88,.249,.303,.382,.684,97
