Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Norichika Aoki RF,155,597,80,171,20,3,8,37,221,55,40,20,.286,.356,.370,.726,3.0
Jean Segura SS,146,588,74,173,20,10,12,49,249,25,84,44,.294,.329,.423,.752,3.9
Carlos Gomez RF,147,536,80,152,27,10,24,73,271,37,146,40,.284,.338,.506,.843,8.4
Jonathan Lucroy C,147,521,59,146,25,6,18,82,237,46,69,9,.280,.340,.455,.795,2.9
Yuniesky Betancourt 1B,137,391,35,83,15,1,13,46,139,14,71,0,.212,.240,.355,.595,-2.0
Rickie Weeks DH,104,350,40,73,20,1,10,24,125,40,105,7,.209,.306,.357,.663,-1.1
Aramis Ramirez 3B,92,304,43,86,18,0,12,49,140,36,55,0,.283,.370,.461,.831,0.5
Logan Schafer CF,134,298,29,63,15,3,4,33,96,25,60,7,.211,.279,.322,.601,0.7
Juan Francisco 3B *,89,240,26,53,10,1,13,32,104,25,95,0,.221,.300,.433,.733,-0.7
Jeff Bianchi SS,100,236,22,56,8,1,1,25,69,11,46,4,.237,.272,.292,.564,1.1
Ryan Braun RF,61,225,30,67,14,2,9,38,112,27,56,4,.298,.372,.498,.869,2.0
Scooter Gennett 2B,69,213,29,69,11,2,6,21,102,10,42,2,.324,.356,.479,.834,2.1
Martin Maldonado C,67,183,13,31,7,1,4,22,52,13,53,0,.169,.236,.284,.520,-0.1
Khris Davis DH,56,136,27,38,10,0,11,27,81,11,34,3,.279,.353,.596,.949,1.3
Caleb Gindl RF,57,132,17,32,7,2,5,14,58,20,25,2,.242,.340,.439,.779,0.5
Alex Gonzalez SS,41,113,14,20,3,0,1,8,26,3,26,0,.177,.203,.230,.433,-1.0
Sean Halton 1B,42,101,9,24,4,0,4,17,40,5,31,0,.238,.291,.396,.687,0.0
Yovani Gallardo SP,33,57,4,12,2,0,2,4,20,0,29,0,.211,.211,.351,.561,0.4
Kyle Lohse SP,33,55,2,8,0,0,0,3,8,1,29,0,.145,.161,.145,.306,-0.2
Wily Peralta RP,32,50,1,7,0,0,0,0,7,1,20,0,.140,.157,.140,.297,-0.2
Marco Estrada SP,21,34,1,7,1,0,0,2,8,1,16,0,.206,.229,.235,.464,0.2
Blake Lalli C,16,24,1,3,0,0,0,2,3,0,7,0,.125,.125,.125,.250,-0.5
Tom Gorzelanny RP,43,17,0,1,0,0,0,0,1,0,9,0,.059,.059,.059,.118,-0.2
Tyler Thornburg RP,19,16,0,0,0,0,0,0,0,0,8,0,.000,.000,.000,.000,-0.2
Alfredo Figaro RP,33,12,1,3,0,0,0,2,3,0,5,0,.250,.250,.250,.500,0.0
Donovan Hand RP,31,11,0,1,0,0,0,0,1,0,3,0,.091,.167,.091,.258,-0.1
Johnny Hellweg RP,8,10,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Josh Prince OF,8,8,3,1,1,0,0,0,2,1,1,0,.125,.222,.250,.472,-0.1
Hiram Burgos SP,6,8,0,1,0,0,0,0,1,0,6,0,.125,.125,.125,.250,0.0
Mike Fiers SP,11,4,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Jimmy Nelson SP,4,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Burke Badenhop RP,63,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Rob Wooten RP,27,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jim Henderson RP,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Narveson RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Gonzalez RP,75,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Michael Blazek RP *,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
John Axford RP *,62,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Francisco Rodriguez RP *,25,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Kintzler RP,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.1
Total,162,5474,640,1381,238,43,157,610,2176,407,1183,142,.252,.311,.398,.708,
