Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Travis Shaw 3B,144,538,84,147,34,1,31,101,276,60,138,10,.273,.349,.513,.862,4.0
Domingo Santana LF,151,525,88,146,29,0,30,85,265,73,178,15,.278,.371,.505,.875,3.0
Orlando Arcia SS,153,506,56,140,17,2,15,53,206,36,100,14,.277,.324,.407,.731,2.6
Eric Thames 1B,138,469,83,116,26,4,31,63,243,75,163,4,.247,.359,.518,.877,1.4
Hernan Perez 2B,136,432,47,112,19,3,14,51,179,20,79,13,.259,.289,.414,.704,1.0
Keon Broxton CF,143,414,66,91,15,4,20,49,174,40,175,21,.220,.299,.420,.719,0.4
Jonathan Villar 2B,122,403,49,97,18,1,11,40,150,30,132,23,.241,.293,.372,.665,0.1
Ryan Braun RF,104,380,58,102,28,2,17,52,185,38,76,12,.268,.336,.487,.823,1.2
Manny Pina C,107,330,45,92,21,0,9,43,140,20,79,2,.279,.327,.424,.751,2.6
Jesus Aguilar 1B,133,279,40,74,15,2,16,52,141,25,94,0,.265,.331,.505,.837,1.3
Eric Sogard 3B,94,249,37,68,15,1,3,18,94,45,37,3,.273,.393,.378,.770,1.9
Jett Bandy C,60,169,14,35,6,0,6,18,59,15,51,1,.207,.287,.349,.636,-0.6
Stephen Vogt C *,45,122,13,31,7,0,8,20,62,5,25,0,.254,.281,.508,.789,0.3
Neil Walker 1B *,38,120,19,32,8,0,4,13,52,28,30,0,.267,.409,.433,.843,0.5
Brett Phillips RF,37,87,9,24,3,0,4,12,39,9,34,5,.276,.351,.448,.799,1.4
Nick Franklin 2B *,53,82,7,16,2,1,2,10,26,5,19,2,.195,.258,.317,.576,-0.1
Jimmy Nelson SP,29,57,0,6,0,0,0,2,6,1,35,0,.105,.121,.105,.226,-0.2
Chase Anderson SP,25,52,1,7,1,0,0,3,8,0,29,0,.135,.135,.154,.288,-0.1
Zach Davies SP,33,48,7,6,2,0,0,3,8,7,15,0,.125,.236,.167,.403,0.4
Lewis Brinson RF,21,47,2,5,0,1,2,3,13,7,17,1,.106,.236,.277,.513,-0.4
Matt Garza SP,24,35,1,3,0,0,0,1,3,0,13,0,.086,.111,.086,.197,-0.1
Kirk Nieuwenhuis LF,16,26,3,3,1,0,1,1,7,4,15,0,.115,.258,.269,.527,-0.2
Brent Suter SP,23,18,1,3,0,0,0,1,3,0,8,0,.167,.211,.167,.377,0.1
Junior Guerra RP,21,16,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.3
Wily Peralta RP,19,13,0,3,0,0,0,1,3,1,4,0,.231,.286,.231,.516,0.1
Andrew Susac C,8,12,0,1,0,0,0,0,1,0,6,0,.083,.083,.083,.167,-0.2
Brandon Woodruff SP,8,10,2,2,0,0,0,0,2,1,2,0,.200,.273,.200,.473,0.1
Aaron Wilkerson RP,3,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Paolo Espino RP *,6,4,0,1,0,0,0,0,1,0,1,0,.250,.250,.250,.500,0.0
Tommy Milone SP *,6,4,0,0,0,0,0,0,0,1,1,0,.000,.200,.000,.200,0.0
Josh Hader RP,35,4,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Quintin Berry RF,7,3,0,0,0,0,0,0,0,0,2,2,.000,.000,.000,.000,-0.1
Yadiel Rivera 3B,1,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Michael Blazek RP,5,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Jhan Marinez RP *,15,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jeremy Jeffress RP *,22,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Rob Scahill RP,18,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Carlos Torres RP,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jorge Lopez RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Taylor Jungmann RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Goforth SP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jacob Barnes RP,73,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.1
Corey Knebel RP,76,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Taylor Williams RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jared Hughes RP,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Neftali Feliz RP *,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Anthony Swarzak RP *,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Wei-Chung Wang RP,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Webb RP *,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Oliver Drake RP *,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5467,732,1363,267,22,224,695,2346,547,1571,128,.249,.322,.429,.751,
