Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Richie Sexson 1B,157,570,86,159,37,2,29,102,287,70,136,0,.279,.363,.504,.867,2.9
Jose Hernandez 1B,152,525,72,151,24,2,24,73,251,52,188,3,.288,.356,.478,.834,4.2
Eric Young LF,138,496,57,139,29,3,3,28,183,39,38,31,.280,.338,.369,.707,1.3
Jeffrey Hammonds LF,128,448,47,115,26,5,9,41,178,52,86,4,.257,.332,.397,.729,-0.8
Alex Sanchez CF,112,394,55,114,10,7,1,33,141,31,62,37,.289,.343,.358,.701,1.0
Ronnie Belliard 2B,104,289,30,61,13,0,3,26,83,18,46,2,.211,.257,.287,.544,-2.3
Matt Stairs 1B,107,270,41,66,15,0,16,41,129,36,50,2,.244,.349,.478,.827,0.5
Tyler Houston 3B *,76,255,25,77,15,2,7,33,117,14,41,1,.302,.347,.459,.806,0.9
Geoff Jenkins RF,67,243,35,59,17,1,10,29,108,22,60,1,.243,.320,.444,.764,0.2
Paul Bako C,87,234,24,55,8,1,4,20,77,20,46,0,.235,.295,.329,.624,-0.7
Mark Loretta 3B *,86,217,23,58,14,0,2,19,78,23,32,0,.267,.350,.359,.709,-0.1
Alex Ochoa RF *,85,215,32,55,9,0,6,21,82,32,30,8,.256,.357,.381,.739,1.0
Lenny Harris 1B,122,197,23,60,8,2,3,17,81,14,17,4,.305,.355,.411,.766,0.8
Robert Machado C *,51,153,14,39,10,1,2,17,57,12,30,0,.255,.310,.373,.682,0.1
Ryan Thompson LF,62,137,16,34,9,2,8,24,71,7,38,1,.248,.295,.518,.813,0.3
Raul Casanova C *,31,87,3,16,1,0,1,8,20,10,18,0,.184,.273,.230,.503,-0.6
Jim Rushford RF,23,77,8,11,2,0,1,6,16,6,9,0,.143,.214,.208,.422,-1.1
Keith Ginter 3B *,21,76,6,18,8,0,1,8,29,15,14,0,.237,.363,.382,.744,0.3
Ben Sheets SP,34,68,2,6,1,0,0,3,7,4,39,0,.088,.139,.103,.242,-0.3
Jorge Fabregas C *,30,67,5,11,3,0,3,14,23,2,7,0,.164,.178,.343,.521,-0.5
Glendon Rusch RP,37,66,6,19,0,0,1,8,22,1,24,0,.288,.299,.333,.632,0.8
Ryan Christenson CF,22,58,5,9,4,0,1,3,16,5,13,0,.155,.222,.276,.498,0.0
Ruben Quevedo SP,26,42,2,4,0,0,0,3,4,2,21,0,.095,.136,.095,.232,-0.3
Bill Hall 3B,19,36,3,7,1,1,1,5,13,3,13,0,.194,.256,.361,.618,-0.2
Marcus Jensen C,16,35,2,4,0,0,1,4,7,4,11,0,.114,.200,.200,.400,-0.4
Jamey Wright RP *,19,33,0,5,3,0,0,0,8,0,13,0,.152,.152,.242,.394,-0.1
Izzy Alcantara RF,16,32,3,8,1,0,2,5,15,0,6,0,.250,.250,.469,.719,-0.3
Nick Neugebauer RP,12,19,0,2,1,0,0,1,3,0,4,0,.105,.105,.158,.263,-0.2
Jose Cabrera RP,50,19,1,2,0,0,0,0,2,0,10,0,.105,.105,.105,.211,-0.1
Nelson Figueroa RP,30,15,0,2,0,0,0,3,2,1,6,0,.133,.188,.133,.321,0.0
Luis Lopez SS *,6,8,1,0,0,0,0,1,0,2,1,0,.000,.200,.000,.200,-0.1
Ben Diggins RP,5,7,0,1,0,0,0,0,1,0,1,0,.143,.143,.143,.286,0.0
Wayne Franklin RP,4,6,0,0,0,0,0,0,0,2,3,0,.000,.250,.000,.250,0.0
Everett Stull SP,2,3,0,1,0,0,0,0,1,0,1,0,.333,.333,.333,.667,0.0
Shane Nance RP,4,3,0,1,0,0,0,1,1,0,2,0,.333,.333,.333,.667,0.0
Jimmy Osting SP,3,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Luis Vizcaino RP,76,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Valerio De Los Santos RP,51,2,0,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,0.1
Jayson Durocher RP,39,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Mike Buddie RP,25,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Matt Childers RP,8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Andrew Lorraine RP,5,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.1
Mike DeJean RP,68,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Dave Pember RP,4,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Mike Matthews RP *,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Takahito Nomura RP,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ray King RP,76,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Mallette RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chad Fox RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5415,627,1369,269,29,139,597,2113,500,1125,94,.253,.320,.390,.711,
