Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Christian Yelich LF,147,574,118,187,34,7,36,110,343,68,135,22,.326,.402,.598,1.000,7.6
Lorenzo Cain CF,141,539,90,166,25,2,10,38,225,71,94,30,.308,.395,.417,.813,6.9
Travis Shaw 3B,152,498,73,120,23,0,32,86,239,78,108,5,.241,.345,.480,.825,4.1
Jesus Aguilar 1B,149,492,80,135,25,0,35,108,265,58,143,0,.274,.352,.539,.890,3.2
Ryan Braun RF,125,405,59,103,25,1,20,64,190,34,85,11,.254,.313,.469,.782,1.1
Orlando Arcia SS,119,348,32,82,16,0,3,30,107,15,87,7,.236,.268,.307,.576,-0.1
Hernan Perez 2B,132,316,36,80,11,2,9,29,122,17,71,11,.253,.290,.386,.676,1.0
Manny Pina C,98,306,39,77,13,2,9,28,121,21,62,2,.252,.307,.395,.702,1.1
Jonathan Villar 2B *,87,257,26,67,10,1,6,22,97,19,80,14,.261,.315,.377,.693,1.4
Eric Thames 1B,96,247,41,54,10,3,16,37,118,29,97,7,.219,.306,.478,.783,0.6
Domingo Santana LF,85,211,21,56,14,1,5,20,87,20,77,1,.265,.328,.412,.740,1.0
Erik Kratz C,67,203,18,48,6,0,6,23,72,6,40,1,.236,.280,.355,.634,0.1
Mike Moustakas 2B *,54,195,20,50,12,0,8,33,86,19,40,1,.256,.326,.441,.767,0.4
Jonathan Schoop 2B *,46,124,16,25,4,0,4,21,41,7,41,1,.202,.246,.331,.577,0.1
Tyler Saladino SS *,52,118,11,29,3,0,5,16,47,9,38,2,.246,.302,.398,.701,0.4
Eric Sogard 3B,55,97,7,13,3,0,0,2,16,12,23,3,.134,.241,.165,.406,-0.9
Keon Broxton CF,51,78,15,14,2,2,4,11,32,11,28,5,.179,.281,.410,.691,1.6
Brad Miller 3B *,27,74,5,17,3,1,2,8,28,6,31,0,.230,.288,.378,.666,0.0
Jett Bandy C,24,64,5,12,2,0,1,1,17,3,23,0,.188,.268,.266,.533,-0.3
Jhoulys Chacin SP,34,56,2,9,1,0,0,1,10,3,17,0,.161,.203,.179,.382,0.2
Chase Anderson SP,28,45,1,4,0,0,0,2,4,0,23,0,.089,.089,.089,.178,-0.3
Curtis Granderson LF *,19,41,12,9,1,1,2,3,18,12,10,0,.220,.407,.439,.846,0.3
Junior Guerra RP,29,35,2,4,3,0,0,0,7,0,13,0,.114,.114,.200,.314,0.0
Ji-Man Choi 1B *,12,30,4,7,2,0,2,5,15,2,14,0,.233,.281,.500,.781,0.1
Wade Miley SP,16,27,1,5,0,0,0,0,5,1,11,0,.185,.214,.185,.399,0.0
Freddy Peralta RP,15,26,0,1,0,0,0,1,1,0,13,0,.038,.038,.038,.077,-0.3
Brent Suter SP,19,26,4,5,1,0,1,3,9,4,6,0,.192,.323,.346,.669,0.8
Brett Phillips RF *,15,22,2,4,0,1,0,4,6,2,11,0,.182,.250,.273,.523,0.0
Nate Orf 2B,15,21,4,2,0,0,1,1,5,3,8,1,.095,.240,.238,.478,-0.3
Jacob Nottingham C,9,20,2,4,1,0,0,0,5,4,8,0,.200,.333,.250,.583,0.1
Zach Davies SP,12,15,0,1,0,0,0,0,1,0,8,0,.067,.067,.067,.133,-0.2
Brandon Woodruff SP,19,8,2,2,0,0,1,1,5,1,1,0,.250,.333,.625,.958,0.2
Gio Gonzalez SP *,5,7,2,1,0,0,0,1,1,1,4,0,.143,.250,.143,.393,0.0
Taylor Williams RP,52,4,0,1,0,0,0,0,1,0,3,0,.250,.250,.250,.500,0.0
Dan Jennings RP,65,3,1,2,1,0,0,0,3,0,1,0,.667,.667,1.000,1.667,0.2
Aaron Wilkerson RP,3,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jorge Lopez RP,10,2,1,1,1,0,0,2,2,0,1,0,.500,.500,1.000,1.500,0.1
Nick Franklin 2B,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jordan Lyles SP *,11,2,1,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,0.0
Josh Hader RP,52,2,1,1,0,0,0,0,1,0,1,0,.500,.500,.500,1.000,0.1
Corbin Burnes SP,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,163,5542,754,1398,252,24,218,711,2352,537,1458,124,.252,.323,.424,.747,
