Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Ryan Braun RF,154,598,108,191,36,3,41,112,356,63,128,30,.319,.391,.595,.987,6.8
Rickie Weeks DH,157,588,85,135,29,4,21,63,235,74,169,16,.230,.328,.400,.728,-0.6
Aramis Ramirez 3B,149,570,92,171,50,3,27,105,308,44,82,9,.300,.360,.540,.901,5.4
Corey Hart 1B,149,562,91,152,35,4,30,83,285,44,151,5,.270,.334,.507,.841,1.8
Norichika Aoki RF,151,520,81,150,37,4,10,50,225,43,55,30,.288,.355,.433,.787,3.3
Carlos Gomez RF,137,415,72,108,19,4,19,51,192,20,98,37,.260,.305,.463,.768,2.3
Jonathan Lucroy C,96,316,46,101,17,4,12,58,162,22,44,4,.320,.368,.513,.881,3.5
Nyjer Morgan CF,122,289,44,69,5,3,3,16,89,20,63,12,.239,.302,.308,.610,0.1
Martin Maldonado C,78,233,22,62,9,0,8,30,95,17,56,1,.266,.321,.408,.729,1.5
Cody Ransom SS *,64,168,18,33,7,0,6,26,58,23,79,0,.196,.293,.345,.638,-0.2
Cesar Izturis SS *,57,162,9,38,6,2,2,11,54,3,13,1,.235,.248,.333,.582,-0.6
Travis Ishikawa 1B,94,152,19,39,12,1,4,30,65,13,42,0,.257,.329,.428,.757,0.4
Jean Segura SS *,44,148,19,39,4,3,0,14,49,13,21,7,.264,.321,.331,.652,0.1
Taylor Green 3B,58,103,8,19,7,0,3,14,35,10,24,0,.184,.265,.340,.605,-0.3
George Kottaras C *,58,86,10,18,4,0,3,12,31,29,24,0,.209,.409,.360,.769,0.5
Alex Gonzalez SS,24,81,8,21,4,0,4,15,37,6,15,1,.259,.326,.457,.783,0.2
Jeff Bianchi SS,33,69,8,13,2,0,3,9,24,4,13,0,.188,.230,.348,.578,0.0
Mat Gamel 1B,21,69,10,17,2,1,1,6,24,4,15,3,.246,.293,.348,.641,0.0
Yovani Gallardo SP,33,67,3,11,3,0,1,9,17,0,25,0,.164,.164,.254,.418,0.1
Edwin Maysonet 2B,30,60,7,15,1,1,1,4,21,3,9,1,.250,.297,.350,.647,0.0
Brooks Conrad 2B *,25,40,2,3,0,0,2,6,9,3,16,0,.075,.136,.225,.361,-0.7
Marco Estrada SP,29,40,1,4,2,0,0,3,6,2,21,0,.100,.143,.150,.293,0.0
Randy Wolf SP *,26,40,3,6,0,0,0,4,6,0,11,0,.150,.146,.150,.296,-0.2
Shaun Marcum SP,22,38,1,4,1,0,0,1,5,3,14,0,.105,.171,.132,.302,-0.1
Zack Greinke SP *,24,33,3,7,3,0,1,2,13,0,8,0,.212,.206,.394,.600,0.3
Mike Fiers SP,23,32,0,3,0,0,0,2,3,0,17,0,.094,.094,.094,.188,-0.3
Logan Schafer CF,16,23,3,7,1,2,0,5,12,1,3,0,.304,.320,.522,.842,0.2
Mark Rogers RP,8,14,1,3,2,0,0,0,5,0,5,0,.214,.214,.357,.571,0.1
Wily Peralta RP,6,11,0,1,1,0,0,0,2,0,5,0,.091,.091,.182,.273,-0.1
Eric Farris 2B,13,8,1,1,0,0,0,0,1,1,2,1,.125,.222,.125,.347,-0.1
Tyler Thornburg RP,8,5,1,1,1,0,0,0,2,0,2,0,.200,.200,.400,.600,0.0
Yorvit Torrealba C *,5,5,0,0,0,0,0,0,0,1,2,0,.000,.167,.000,.167,-0.1
Chris Narveson RP,2,3,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Livan Hernandez RP *,26,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Mike McClendon RP,9,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Josh Stinson RP,6,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Manny Parra RP,62,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
John Axford RP,75,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Juan Perez RP,10,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jim Henderson RP,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Veras RP,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tim C Dillard RP,34,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Vinnie Chulk RP,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Francisco Rodriguez RP,78,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Kintzler RP,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Kameron Loe RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5557,776,1442,300,39,202,741,2426,466,1240,158,.259,.325,.437,.762,
