Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Andrew McCutchen CF,153,598,81,153,26,3,24,79,257,69,143,6,.256,.336,.430,.766,-0.7
Gregory Polanco RF,144,527,79,136,34,4,22,86,244,53,119,17,.258,.323,.463,.786,1.6
Jordy Mercer SS,149,519,66,133,22,3,11,59,194,51,83,1,.256,.328,.374,.701,0.9
Starling Marte CF,129,489,71,152,34,5,9,46,223,23,104,47,.311,.362,.456,.818,4.9
Josh Harrison 2B,131,487,57,138,25,7,4,59,189,18,76,19,.283,.311,.388,.699,1.8
David Freese 1B,141,437,63,118,23,0,13,55,180,45,142,0,.270,.352,.412,.764,1.8
John Jaso 1B,132,380,45,102,25,3,8,42,157,45,74,0,.268,.353,.413,.766,1.0
Francisco Cervelli C,101,326,42,86,14,1,1,33,105,56,72,6,.264,.377,.322,.699,1.6
Jung Ho Kang 3B,103,318,45,81,19,0,21,62,163,36,79,3,.255,.354,.513,.867,2.3
Sean Rodriguez 3B,140,300,49,81,16,1,18,56,153,33,102,2,.270,.349,.510,.859,1.8
Matt Joyce RF,140,231,45,56,10,1,13,42,107,59,67,1,.242,.403,.463,.866,1.7
Adam Frazier 2B,66,146,21,44,8,1,2,11,60,12,26,4,.301,.356,.411,.767,0.5
Josh Bell 1B,45,128,18,35,8,0,3,19,52,21,19,0,.273,.368,.406,.775,-0.5
Chris Stewart C,34,98,10,21,4,0,1,7,28,12,15,0,.214,.319,.286,.604,-0.3
Eric Fryer C *,36,78,12,17,2,1,0,8,21,10,18,0,.218,.300,.269,.569,-0.2
Erik Kratz C *,18,56,3,6,1,0,1,4,10,0,18,0,.107,.107,.179,.286,-0.6
Francisco Liriano RP *,23,42,2,12,1,0,1,5,16,0,16,0,.286,.286,.381,.667,0.5
Gerrit Cole SP,21,40,3,8,1,0,1,3,12,0,19,0,.200,.220,.300,.520,0.2
Jameson Taillon SP,18,32,0,3,0,0,0,2,3,0,17,0,.094,.094,.094,.188,-0.3
Jeff Locke SP,31,32,0,4,0,0,0,0,4,1,17,0,.125,.152,.125,.277,-0.1
Alen Hanson 2B,27,31,5,7,1,0,0,1,8,2,5,2,.226,.273,.258,.531,-0.3
Jon Niese SP *,24,30,1,3,1,0,0,1,4,2,14,0,.100,.156,.133,.290,-0.1
Cole Figueroa 2B,23,26,0,4,0,0,0,3,4,1,2,1,.154,.185,.154,.339,-0.2
Jason Rogers 1B,23,25,2,2,0,1,0,2,4,7,9,0,.080,.303,.160,.463,-0.1
Pedro Florimon SS,18,24,4,5,1,1,0,4,8,1,12,0,.208,.240,.333,.573,-0.1
Chad Kuhl SP,15,23,0,2,0,0,0,0,2,1,9,0,.087,.125,.087,.212,-0.1
Ivan Nova SP *,11,22,1,3,0,0,0,0,3,0,15,0,.136,.136,.136,.273,0.0
Ryan Vogelsong SP,24,19,1,1,0,0,0,1,1,1,13,0,.053,.143,.053,.195,-0.1
Juan Nicasio RP,52,19,1,3,0,0,0,1,3,0,7,0,.158,.158,.158,.316,0.0
Jacob Stallings C,5,15,0,6,1,0,0,2,7,0,4,1,.400,.400,.467,.867,0.1
Michael Morse 1B,6,8,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.2
Steven Brault RP,8,8,1,2,0,0,0,0,2,0,0,0,.250,.250,.250,.500,0.1
Tyler Glasnow SP,7,7,0,1,0,0,0,0,1,0,4,0,.143,.143,.143,.286,0.0
Elias Diaz C,1,4,0,0,0,0,0,1,0,0,1,0,.000,.000,.000,.000,-0.1
Wilfredo Boscan RP,6,3,0,1,0,0,0,1,1,0,1,0,.333,.333,.333,.667,0.0
Arquimedes Caminero SP *,39,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Max Moroff SS,2,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Kyle Lobstein SP,14,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Rob Scahill RP *,15,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
A.J. Schugel RP,36,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Trevor Williams SP,7,1,1,0,0,0,0,1,0,2,1,0,.000,.667,.000,.667,0.1
Wade LeBlanc SP *,8,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jared Hughes RP,67,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Drew Hutchison SP *,6,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Mark Melancon RP *,45,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jorge Rondon RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Antonio Bastardo RP *,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tony Watson RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.1
Felipe Vazquez RP *,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Phil Coke RP *,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
