Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Andrew McCutchen CF,156,570,94,159,30,2,28,88,277,73,116,11,.279,.363,.486,.849,2.5
Josh Bell 1B,159,549,75,140,26,6,26,90,256,66,117,2,.255,.334,.466,.800,1.7
Jordy Mercer SS,145,502,52,128,24,5,14,58,204,51,88,0,.255,.326,.406,.733,1.2
Josh Harrison 2B,128,486,66,132,26,2,16,47,210,28,90,12,.272,.339,.432,.771,3.3
David Freese 1B,130,426,44,112,16,0,10,52,158,58,116,0,.263,.368,.371,.739,2.0
Adam Frazier 2B,121,406,55,112,20,6,6,53,162,36,57,9,.276,.344,.399,.743,1.8
Gregory Polanco RF,108,379,39,95,20,0,11,35,148,27,60,8,.251,.305,.391,.695,0.0
Starling Marte CF,77,309,48,85,7,2,7,31,117,20,63,21,.275,.333,.379,.712,1.4
Francisco Cervelli C,81,265,31,66,13,2,5,31,98,32,65,0,.249,.342,.370,.712,0.7
John Jaso 1B,126,256,28,54,19,0,10,35,103,40,66,1,.211,.328,.402,.730,-0.4
Jose Osuna 3B,104,215,31,50,13,4,7,30,92,9,40,0,.233,.269,.428,.697,-1.2
Elias Diaz C,64,188,18,42,14,0,1,19,59,11,38,1,.223,.265,.314,.579,-0.1
Chris Stewart C,51,131,8,24,1,2,0,4,29,9,22,0,.183,.241,.221,.463,-0.7
Max Moroff SS,56,120,19,24,4,1,3,21,39,16,43,0,.200,.302,.325,.627,0.7
Sean Rodriguez 3B *,39,95,12,16,1,0,3,5,26,8,38,0,.168,.255,.274,.528,-0.2
Jordan Luplow RF,27,78,6,16,3,1,3,11,30,6,22,0,.205,.276,.385,.660,-0.5
Alen Hanson 2B *,37,57,8,11,0,2,0,1,15,2,9,2,.193,.220,.263,.483,-0.3
Gerrit Cole SP,34,55,3,9,1,0,1,3,13,1,21,0,.164,.179,.236,.415,0.1
Gift Ngoepe 3B,28,54,10,12,2,1,0,6,16,8,26,0,.222,.323,.296,.619,0.0
Ivan Nova SP,31,51,0,1,0,0,0,0,1,0,31,0,.020,.020,.020,.039,-0.6
Chad Kuhl SP,33,48,2,5,2,0,0,3,7,1,16,0,.104,.122,.146,.268,0.0
Trevor Williams SP,31,41,1,2,0,0,0,0,2,2,17,0,.049,.093,.049,.142,-0.2
Phil Gosselin 2B *,28,40,3,6,1,0,0,2,7,2,9,0,.150,.190,.175,.365,-0.6
Jameson Taillon SP,25,38,2,6,0,0,0,0,6,0,15,0,.158,.158,.158,.316,-0.1
Christopher Bostick 2B,20,27,6,8,2,0,0,1,10,4,9,0,.296,.406,.370,.777,0.1
Tyler Glasnow SP,18,17,1,5,0,0,0,3,5,4,7,0,.294,.455,.294,.749,0.4
Jacob Stallings C,5,14,3,5,2,0,0,3,7,2,2,0,.357,.438,.500,.938,0.2
Steven Brault RP,12,13,2,3,1,0,0,2,4,0,0,0,.231,.231,.308,.538,0.1
Danny Ortiz LF,9,12,1,1,0,0,0,0,1,1,1,0,.083,.154,.083,.237,-0.2
Wade LeBlanc SP,50,5,0,1,0,0,0,1,1,0,3,0,.200,.200,.200,.400,0.0
Jhan Marinez RP *,24,4,0,1,1,0,0,0,2,0,3,0,.250,.250,.500,.750,0.1
Josh Lindblom SP,4,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
A.J. Schugel RP,32,1,0,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,0.0
Angel Sanchez RP,8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tony Watson RP *,47,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Johnny Barbato RP,24,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
John Bormann C,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
George Kontos RP *,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jack Leathersich RP *,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Antonio Bastardo RP,9,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.1
Dovydas Neverauskas RP,24,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Edgar Santana RP,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Joseph Runzler RP,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Daniel Hudson RP,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joaquin Benoit RP *,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Nicasio RP *,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Felipe Vazquez RP,73,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5458,668,1331,249,36,151,635,2105,519,1213,67,.244,.318,.386,.704,
