Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Freddy Sanchez 2B,147,602,77,183,42,4,11,81,266,32,76,0,.304,.343,.442,.784,2.5
Adam LaRoche DH,152,563,71,153,42,0,21,88,258,62,131,1,.272,.345,.458,.803,1.2
Jason Bay LF,145,538,78,133,25,2,21,84,225,59,141,4,.247,.327,.418,.746,-0.5
Jose Bautista RF,142,532,75,135,36,2,15,63,220,68,101,6,.254,.339,.414,.753,-0.8
Jack Wilson SS,135,477,67,141,29,2,12,56,210,38,46,2,.296,.350,.440,.791,3.4
Ronny Paulino C,133,457,56,120,25,0,11,55,178,33,79,2,.263,.314,.389,.703,1.1
Xavier Nady RF,125,431,55,120,23,1,20,72,205,23,101,3,.278,.330,.476,.805,0.5
Nate McLouth LF,137,329,62,85,21,3,13,38,151,39,77,22,.258,.351,.459,.810,1.1
Ryan Doumit LF,83,252,33,69,19,2,9,32,119,22,59,1,.274,.341,.472,.813,1.9
Chris Duffy CF,70,241,31,60,11,3,3,22,86,21,43,13,.249,.313,.357,.670,0.3
Jose Castillo 3B,87,221,18,54,18,1,0,24,74,6,48,0,.244,.270,.335,.604,-1.2
Cesar Izturis SS *,45,123,16,34,3,2,0,8,41,6,3,0,.276,.310,.333,.643,-0.2
Nyjer Morgan CF,28,107,15,32,3,4,1,7,46,9,19,7,.299,.359,.430,.789,0.8
Matt Kata 2B *,47,88,9,22,7,1,1,10,34,0,15,0,.250,.258,.386,.645,-0.9
Josh Phelps 1B *,58,77,13,27,4,2,5,19,50,14,23,0,.351,.463,.649,1.113,1.5
Steve Pearce 1B,23,68,13,20,5,1,0,6,27,5,12,2,.294,.342,.397,.740,0.4
Tom Gorzelanny RP,32,63,1,4,0,0,0,3,4,2,31,0,.063,.106,.063,.170,-0.6
Paul Maholm RP,29,59,4,11,1,0,0,5,12,1,29,0,.186,.200,.203,.403,0.1
Ian Snell SP,35,57,6,5,0,0,0,2,5,3,23,0,.088,.133,.088,.221,-0.4
Rajai Davis CF *,24,48,6,13,2,1,0,2,17,7,3,5,.271,.357,.354,.711,-0.1
Brad Eldred 1B,19,46,3,5,1,0,2,3,12,1,16,0,.109,.128,.261,.389,-0.6
Zach Duke RP,21,32,3,8,0,0,0,3,8,0,12,0,.250,.250,.250,.500,0.3
Don T Kelly 1B,25,27,2,4,0,0,0,0,4,3,3,0,.148,.281,.148,.429,-0.5
Tony Armas SP,31,26,0,3,1,0,0,2,4,0,12,0,.115,.115,.154,.269,-0.2
Carlos Maldonado C,13,24,2,5,1,0,2,4,12,5,8,0,.208,.333,.500,.833,0.1
Matt Morris SP *,11,19,3,6,1,0,1,2,10,0,7,0,.316,.316,.526,.842,0.4
Humberto Cota C,5,14,1,4,1,0,0,3,5,2,2,0,.286,.389,.357,.746,0.0
Shane Youman SP,16,12,1,1,0,0,0,0,1,1,5,0,.083,.154,.083,.237,0.0
Shawn Chacon SP,64,11,1,3,0,0,0,0,3,0,2,0,.273,.273,.273,.545,0.1
John Van Benschoten RP,11,7,1,1,1,0,0,0,2,1,3,0,.143,.250,.286,.536,0.1
John Wasdin RP,12,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Franquelis Osoria RP,25,4,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Bryan Bullington RP,5,3,1,1,0,0,0,0,1,0,0,0,.333,.333,.333,.667,0.1
Marty McLeary RP,4,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Damaso Marte RP,65,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
John Grabow RP,63,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Matt Capps RP,76,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0.1
Romulo Sanchez RP,16,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Masumi Kuwata RP,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Salomon Torres RP,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Rogers RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Davidson SP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Kolb RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jonah Bayliss RP,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Josh Sharpless P,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Perez RP,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5569,724,1463,322,31,148,694,2291,463,1135,68,.263,.325,.411,.736,
