Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Neil Walker 1B,159,596,76,163,36,4,12,83,243,54,112,9,.273,.334,.408,.742,2.3
Andrew McCutchen CF,158,572,87,148,34,5,23,89,261,89,126,23,.259,.364,.456,.820,5.3
Garrett Jones RF,148,423,51,103,30,1,16,58,183,48,104,6,.243,.321,.433,.753,0.1
Ronny Cedeno SS,128,413,43,103,25,3,2,32,140,30,93,2,.249,.297,.339,.636,0.8
Lyle Overbay 1B *,103,352,40,80,17,1,8,37,123,36,77,1,.227,.300,.349,.649,-0.7
Jose Tabata LF,91,334,53,89,18,1,4,21,121,40,61,16,.266,.349,.362,.711,0.2
Brandon Wood SS *,99,236,25,52,9,0,7,31,82,19,65,0,.220,.277,.347,.625,-0.7
Pedro Alvarez 1B,74,235,18,45,9,1,4,19,68,24,80,1,.191,.272,.289,.561,-2.2
Xavier Paul LF *,121,232,30,59,6,5,2,20,81,13,57,16,.254,.293,.349,.642,0.0
Ryan Doumit LF,77,218,17,66,12,1,8,30,104,16,35,0,.303,.353,.477,.830,1.0
Matt Diaz LF *,100,216,14,56,12,1,0,19,70,11,44,4,.259,.303,.324,.627,-0.7
Alex Presley CF,52,215,27,64,12,6,4,20,100,13,40,9,.298,.339,.465,.804,1.3
Josh Harrison 2B,65,195,21,53,13,2,1,16,73,3,24,4,.272,.281,.374,.656,1.4
Michael McKenry C,58,180,17,40,12,0,2,11,58,14,49,0,.222,.276,.322,.598,-0.1
Chase d'Arnaud 3B,48,143,17,31,6,2,0,6,41,4,36,12,.217,.242,.287,.528,-0.5
Ryan Ludwick LF *,38,112,14,26,5,0,2,11,37,19,37,0,.232,.341,.330,.671,-0.2
Derrek Lee 1B *,28,101,16,34,2,1,7,18,59,8,27,0,.337,.398,.584,.982,0.8
Chris Snyder C,34,96,13,26,3,0,3,17,38,17,23,0,.271,.376,.396,.772,0.7
Steve Pearce 1B,50,94,8,19,2,0,1,10,24,7,21,0,.202,.260,.255,.515,-0.8
James McDonald SP,31,55,3,5,1,0,0,3,6,3,29,0,.091,.138,.109,.247,-0.3
Charlie Morton SP,29,50,0,4,3,0,0,2,7,1,29,0,.080,.094,.140,.234,-0.3
Jeff Karstens SP,30,48,2,5,1,0,0,2,6,3,28,0,.104,.157,.125,.282,-0.1
Kevin Correia SP,27,46,0,4,2,0,0,3,6,1,19,0,.087,.106,.130,.237,-0.2
Paul Maholm RP,26,46,1,5,0,0,0,1,5,3,22,0,.109,.163,.109,.272,0.0
Jason Jaramillo C,23,43,1,14,3,0,0,6,17,2,12,1,.326,.356,.395,.751,0.1
Pedro Ciriaco SS,23,33,4,10,2,1,0,6,14,1,6,2,.303,.324,.424,.748,0.2
Dusty Brown C,11,28,2,3,0,0,0,0,3,1,10,1,.107,.138,.107,.245,-0.4
Eric Fryer C,10,26,5,7,0,0,0,0,7,3,7,1,.269,.345,.269,.614,0.2
John Bowker RF *,19,17,0,4,1,0,0,2,5,2,4,0,.235,.316,.294,.610,0.0
Ross Ohlendorf RP,9,14,2,3,0,0,1,4,6,0,7,0,.214,.214,.429,.643,0.2
Brad Lincoln RP,13,12,1,1,1,0,0,1,2,1,5,0,.083,.154,.167,.321,0.0
Josh Rodriguez SS,7,12,1,1,0,0,0,1,1,1,8,0,.083,.214,.083,.298,-0.1
Matt Pagnozzi C *,5,8,0,2,0,0,0,1,2,0,2,0,.250,.250,.250,.500,-0.2
Daniel McCutchen SP,73,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.1
Jeff Locke SP,4,5,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Wyatt Toregas C,3,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Brian Burres SP,5,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Joe Ronald Beimel RP,35,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Tony Watson RP,43,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jason Grilli RP,28,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Daniel Moskos SP,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Evan Meek RP,24,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
José E Ascanio RP,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Crotta SP,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joel Hanrahan RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Resop RP,76,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jared Hughes RP,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Leroux RP,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aaron Thompson SP,4,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Jose Veras RP,79,0,1,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Tim Wood RP,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Garrett Olson SP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5421,610,1325,277,35,107,580,1993,489,1308,108,.244,.309,.368,.676,
