Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jeff Francoeur LF,162,651,83,169,24,6,29,103,292,23,132,1,.260,.293,.449,.742,0.3
Edgar Renteria SS,149,598,100,175,40,2,14,70,261,62,89,17,.293,.361,.436,.797,4.0
Andruw Jones LF,156,565,107,148,29,0,41,129,300,82,127,4,.262,.363,.531,.894,5.4
Marcus Giles 2B,141,550,87,144,32,2,11,60,213,62,105,10,.262,.341,.387,.729,0.4
Adam LaRoche DH,149,492,89,140,38,1,32,90,276,55,128,0,.285,.354,.561,.915,1.4
Brian McCann C,130,442,61,147,34,0,24,93,253,41,54,2,.333,.388,.572,.961,4.1
Chipper Jones 3B,110,411,87,133,28,3,26,86,245,61,73,6,.324,.409,.596,1.005,3.4
Ryan Langerhans 1B,131,315,46,76,16,3,7,28,119,50,91,1,.241,.350,.378,.727,0.9
Matt Diaz LF,124,297,37,97,15,4,7,32,141,11,49,5,.327,.364,.475,.839,1.8
Wilson Betemit SS *,88,199,30,56,16,0,9,29,99,19,57,2,.281,.344,.497,.842,0.1
Pete Orr 3B,102,154,22,39,3,4,1,8,53,5,30,2,.253,.277,.344,.621,0.0
Todd Pratt C,62,135,14,28,6,0,4,19,46,12,43,1,.207,.272,.341,.612,-0.8
Scott Thorman 3B,55,128,13,30,11,0,5,14,56,5,21,1,.234,.263,.438,.701,-0.1
Willy Aybar DH *,36,115,17,36,6,0,1,8,45,10,19,0,.313,.373,.391,.764,0.2
Brian Jordan 1B,48,91,11,21,2,0,3,10,32,7,23,0,.231,.287,.352,.639,-0.4
John Smoltz SP,35,64,5,8,3,0,0,4,11,4,27,0,.125,.176,.172,.348,-0.1
Tim Hudson SP,35,63,4,6,1,0,0,3,7,2,18,0,.095,.123,.111,.234,-0.4
Tony Pena SS,40,44,12,10,2,0,1,3,15,2,10,0,.227,.261,.341,.602,0.2
Martin Prado 1B,24,42,3,11,1,1,1,9,17,5,7,0,.262,.340,.405,.745,-0.6
Brayan Pena C,23,41,9,11,2,0,1,5,16,2,5,0,.268,.302,.390,.693,0.2
Chuck James RP,25,35,2,1,0,0,0,0,1,1,14,0,.029,.056,.029,.084,-0.3
John Thomson SP,18,30,1,8,2,0,0,4,10,0,10,0,.267,.267,.333,.600,0.2
Daryle Ward 1B *,20,26,2,8,1,0,1,7,12,1,6,0,.308,.333,.462,.795,0.1
Horacio Ramirez RP,14,24,2,3,0,0,0,0,3,1,2,0,.125,.160,.125,.285,-0.1
Kyle Davies RP,14,23,1,1,0,0,1,1,4,0,8,0,.043,.043,.174,.217,-0.1
Jorge Sosa RP *,27,20,4,3,0,0,3,3,12,2,8,0,.150,.227,.600,.827,0.4
Lance Cormier RP,29,12,0,1,0,0,0,0,1,0,4,0,.083,.083,.083,.167,-0.1
Oscar Villarreal RP,58,7,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Jason Shiell RP,4,4,0,0,0,0,0,0,0,1,3,0,.000,.200,.000,.200,0.0
Kevin Barry RP,19,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Chad Paronto RP,65,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ken Ray RP,69,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Travis Smith RP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Bob Wickman RP *,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Danys Baez RP *,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Phil Stockman RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Anthony Lerew SP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Remlinger RP,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Macay McBride RP,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Peter Moylan RP,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Reitsma RP,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Yates RP,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Blaine Boyer RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Wayne Franklin RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joey Devine RP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5583,849,1510,312,26,222,818,2540,526,1169,52,.270,.337,.455,.791,
