Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Ozzie Albies 2B,158,639,105,167,40,5,24,72,289,36,116,14,.261,.305,.452,.757,3.8
Nick Markakis LF,162,623,78,185,43,2,14,93,274,72,80,1,.297,.366,.440,.806,2.6
Freddie Freeman 1B,162,618,94,191,44,4,23,98,312,76,132,10,.309,.388,.505,.892,6.1
Ender Inciarte CF,156,597,83,158,27,6,10,61,227,49,86,28,.265,.325,.380,.705,3.4
Dansby Swanson SS,136,478,51,114,25,4,14,59,189,44,122,10,.238,.304,.395,.699,2.3
Johan Camargo 3B,134,464,63,126,27,1,19,76,212,51,108,1,.272,.349,.457,.806,3.7
Ronald Acuna Jr. RF,111,433,78,127,26,4,26,64,239,45,123,16,.293,.366,.552,.917,4.1
Kurt Suzuki C,105,347,45,94,24,0,12,50,154,22,43,0,.271,.332,.444,.776,2.1
Charlie Culberson SS,113,296,47,80,18,2,12,45,138,21,85,4,.270,.326,.466,.792,1.3
Tyler Flowers C,82,251,34,57,9,0,8,30,90,35,76,0,.227,.341,.359,.700,0.6
Ryan Flaherty 2B,81,161,17,35,6,0,2,13,47,18,41,4,.217,.298,.292,.590,-0.8
Preston Tucker RF *,80,129,15,31,10,0,4,22,53,9,34,0,.240,.303,.411,.714,-0.1
Mike Foltynewicz SP,30,58,3,3,1,0,0,4,4,0,41,0,.052,.052,.069,.121,-0.5
Adam Duvall LF *,33,53,8,7,1,0,0,0,8,3,17,0,.132,.193,.151,.344,-0.5
Sean Newcomb RP,28,45,3,2,1,0,0,1,3,1,32,0,.044,.065,.067,.132,-0.4
Peter Bourjos CF,36,44,5,9,2,1,1,4,16,2,15,0,.205,.239,.364,.603,0.2
Anibal Sanchez SP,23,41,0,1,0,0,0,0,1,1,25,0,.024,.048,.024,.072,-0.4
Julio Teheran SP,28,40,2,7,0,0,1,4,10,1,8,0,.175,.190,.250,.440,0.4
Jose Bautista RF *,12,35,3,5,1,0,2,5,12,5,12,0,.143,.250,.343,.593,-0.4
Brandon McCarthy SP,15,29,1,3,2,0,0,2,5,0,19,0,.103,.103,.172,.276,0.0
Danny Santana LF,15,28,4,5,3,0,0,2,8,3,11,1,.179,.281,.286,.567,0.0
Lane Adams CF,26,25,10,6,1,0,2,6,13,4,8,1,.240,.345,.520,.865,0.3
Carlos Pérez C *,8,21,0,3,0,0,0,0,3,1,6,0,.143,.182,.143,.325,-0.4
Kevin Gausman SP *,11,19,0,1,0,0,0,0,1,4,9,0,.053,.217,.053,.270,0.0
Lucas Duda 1B *,20,18,1,4,2,0,1,2,9,4,7,0,.222,.364,.500,.864,0.1
Chris Stewart C *,5,14,3,3,0,0,0,3,3,1,1,0,.214,.250,.214,.464,0.0
Rio Ruiz 3B,14,12,1,1,0,0,0,0,1,2,5,0,.083,.267,.083,.350,0.0
Touki Toussaint SP,8,10,1,1,0,0,0,0,1,0,5,0,.100,.100,.100,.200,0.0
Matt Wisler RP,6,8,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Mike Soroka SP,4,8,0,1,0,0,0,0,1,0,1,0,.125,.125,.125,.250,0.0
Max Fried SP,14,8,1,1,0,0,0,0,1,0,3,0,.125,.125,.125,.250,0.0
Michael Reed CF,7,7,1,2,0,0,0,0,2,0,3,0,.286,.286,.286,.571,0.0
Rene Rivera C *,3,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Shane Carle RP,51,4,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Dustin Peterson RF,2,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Jesse Biddle RP,56,2,0,1,1,0,0,1,2,0,0,0,.500,.500,1.000,1.500,0.1
Luiz Gohara RP,8,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Bryse Wilson SP,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Wes Parsons RP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Luke Jackson RP,33,1,1,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,0.0
Dan Winkler RP,66,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Kolby Allard RP,3,1,1,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0.4
Lucas Sims SP *,5,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Sam Freeman RP,59,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Chad Sobotka RP,14,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0.1
Total,162,5582,759,1433,314,29,175,717,2330,511,1290,90,.257,.324,.417,.742,
