Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Nick Markakis LF,158,599,67,161,38,0,13,89,238,71,101,0,.269,.346,.397,.744,1.7
Freddie Freeman 1B,158,589,102,178,43,6,34,91,335,89,171,6,.302,.400,.569,.968,6.5
Adonis Garcia 3B,134,532,65,145,29,0,14,65,216,24,93,3,.273,.311,.406,.717,0.2
Ender Inciarte CF,131,522,85,152,24,7,3,29,199,45,68,16,.291,.351,.381,.732,3.8
Jace Peterson 2B,115,350,45,89,16,1,7,29,128,52,69,5,.254,.350,.366,.715,0.4
Erick Aybar SS *,97,335,27,81,14,2,2,26,105,20,59,3,.242,.293,.313,.607,-0.4
Tyler Flowers C,83,281,27,76,18,0,8,41,118,29,91,0,.270,.357,.420,.777,0.3
Jeff Francoeur LF *,99,257,29,64,13,0,7,33,98,16,75,2,.249,.290,.381,.671,0.7
A.J. Pierzynski C,81,247,15,54,15,0,2,23,75,6,29,1,.219,.243,.304,.547,-1.3
Gordon Beckham SS *,85,240,25,52,16,1,5,30,85,26,50,1,.217,.300,.354,.655,-1.0
Chase d'Arnaud 3B,84,233,24,57,14,2,1,21,78,23,50,9,.245,.317,.335,.652,0.1
Matt Kemp LF *,56,214,35,60,15,0,12,39,111,20,56,1,.280,.336,.519,.855,0.0
Mallex Smith CF,72,189,28,45,7,4,3,22,69,20,48,16,.238,.316,.365,.681,1.0
Daniel Castro SS,47,130,8,26,1,0,0,7,27,7,24,1,.200,.241,.208,.449,-1.1
Dansby Swanson SS,38,129,20,39,7,1,3,17,57,13,34,3,.302,.361,.442,.803,0.9
Kelly Johnson 2B *,49,121,8,26,6,0,1,10,35,10,25,1,.215,.273,.289,.562,-0.7
Anthony Recker C,33,90,6,25,8,0,2,15,39,16,22,1,.278,.394,.433,.828,0.6
Julio Teheran SP,31,49,1,10,1,0,0,2,11,1,16,0,.204,.220,.224,.444,0.2
Matt Wisler RP,29,46,2,7,0,0,0,2,7,1,21,0,.152,.167,.152,.319,0.0
Brandon Snyder 3B,37,46,8,11,5,1,4,9,30,1,16,0,.239,.255,.652,.907,0.3
Drew Stubbs CF *,20,38,6,9,0,0,1,3,12,4,20,4,.237,.310,.316,.625,-0.3
Emilio Bonifacio 2B,24,38,6,8,0,0,0,3,8,3,12,1,.211,.268,.211,.479,-0.2
Mike Foltynewicz SP,22,36,3,5,1,0,0,1,6,1,19,0,.139,.162,.167,.329,-0.1
Reid Brignac SS,13,29,3,6,2,0,0,1,8,0,8,0,.207,.207,.276,.483,-0.1
Aaron Blair SP,15,21,0,1,0,0,0,0,1,0,9,0,.048,.048,.048,.095,-0.2
Hector Olivera LF,6,19,2,4,1,0,0,2,5,1,5,0,.211,.238,.263,.501,-0.2
Williams Perez RP,11,17,0,0,0,0,0,0,0,0,5,0,.000,.000,.000,.000,-0.3
Joel De La Cruz RP,22,16,0,3,0,0,0,1,3,0,8,0,.188,.188,.188,.375,0.0
Blake Lalli C,10,13,0,2,1,0,0,1,3,0,3,0,.154,.154,.231,.385,-0.2
Tyrell Jenkins SP,14,13,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,0.0
Bud Norris RP *,22,12,1,2,0,1,0,0,4,3,5,0,.167,.375,.333,.708,0.3
Rob Whalen RP,6,10,0,2,0,0,0,0,2,0,3,0,.200,.200,.200,.400,0.0
Jhoulys Chacin SP *,5,8,0,2,0,0,0,1,2,0,1,0,.250,.250,.250,.500,0.1
Lucas Harrell RP *,5,8,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
John Gant SP,20,7,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Rio Ruiz 3B,5,7,1,2,0,1,0,2,4,0,2,1,.286,.286,.571,.857,0.1
Ryan Weber RP,16,6,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Josh Collmenter RP *,3,6,0,0,0,0,0,0,0,0,6,0,.000,.000,.000,.000,-0.1
Roberto Hernandez SP,2,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Matt Tuiasosopo LF,3,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Casey Kelly SP,10,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ian Krol RP,63,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jim Johnson RP,65,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Eric O'Flaherty RP,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Hunter Cervenka RP *,50,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Matt Marksberry RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Winkler RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Madison Younginer RP,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Cunniff RP,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Withrow RP,46,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mauricio Cabrera RP,41,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jed Bradley RP,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chaz Roe RP *,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Alexi Ogando RP,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Ramirez RP,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dario Rafael Alvarez RP *,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Hursh RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Arodys Vizcaino RP,43,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Shae Simmons RP,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Grilli RP *,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,161,5514,649,1404,295,27,122,615,2119,502,1240,75,.255,.321,.384,.705,
