Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Paul Goldschmidt 1B,158,593,95,172,35,5,33,83,316,90,173,7,.290,.389,.533,.922,5.4
David Peralta LF,146,560,75,164,25,5,30,87,289,48,124,4,.293,.352,.516,.868,3.9
Ketel Marte 2B,153,520,68,135,26,12,14,59,227,54,79,6,.260,.332,.437,.768,3.3
Nick Ahmed SS,153,516,61,121,33,5,16,70,212,40,109,5,.234,.290,.411,.700,3.2
AJ Pollock LF,113,413,61,106,21,5,21,65,200,31,100,13,.257,.316,.484,.800,2.5
Daniel Descalso 2B,138,349,54,83,22,4,13,57,152,64,110,0,.238,.353,.436,.789,1.1
Jon Jay RF *,84,289,46,68,10,5,2,22,94,14,56,1,.235,.304,.325,.629,0.0
Chris Owings 2B,106,281,34,58,15,0,4,22,85,24,75,11,.206,.272,.302,.574,-0.2
Steven Souza Jr. RF,72,241,21,53,15,3,5,29,89,28,75,6,.220,.309,.369,.678,-0.3
John Ryan Murphy C,87,208,19,42,9,0,9,24,78,11,71,0,.202,.244,.375,.619,-0.5
Jake Lamb 3B,56,207,34,46,8,0,6,31,72,26,65,1,.222,.307,.348,.655,0.8
Jarrod Dyson CF,67,206,29,39,4,2,2,12,53,27,34,16,.189,.282,.257,.539,0.1
Eduardo Escobar 3B *,54,198,30,53,11,0,8,21,88,18,35,1,.268,.327,.444,.772,1.0
Jeff Mathis C,69,195,15,39,9,1,1,20,53,20,66,0,.200,.272,.272,.544,0.2
Alex Avila C,80,194,13,32,6,0,7,20,59,37,90,0,.165,.299,.304,.603,-0.1
Deven Marrero 3B,49,78,11,13,1,1,0,7,16,6,23,3,.167,.224,.205,.429,-0.5
Zack Greinke SP,30,64,6,15,4,0,0,5,19,3,16,3,.234,.269,.297,.566,0.7
Patrick Corbin SP,31,61,1,12,1,0,0,5,13,2,25,0,.197,.222,.213,.435,0.2
Zack Godley SP,32,53,1,3,0,0,0,1,3,4,30,0,.057,.123,.057,.179,-0.3
Christian Walker 1B,37,49,6,8,2,0,3,6,19,3,22,1,.163,.226,.388,.614,-0.2
Socrates Brito CF,24,40,3,7,0,0,1,3,10,3,9,0,.175,.227,.250,.477,-0.4
Robbie Ray SP,24,39,2,3,1,0,0,2,4,0,24,0,.077,.075,.103,.178,-0.4
Clay Buchholz SP,16,31,0,2,1,0,0,1,3,1,17,0,.065,.094,.097,.191,-0.2
Ildemaro Vargas 2B,14,19,2,4,0,0,1,4,7,1,4,1,.211,.250,.368,.618,0.1
Matt Koch SP,18,17,1,1,0,0,0,0,1,3,11,0,.059,.200,.059,.259,0.1
Patrick Kivlehan RF,9,13,3,3,0,2,0,0,7,0,6,0,.231,.286,.538,.824,0.1
T.J. McFarland RP,46,7,0,0,0,0,0,0,0,0,6,0,.000,.000,.000,.000,-0.1
Taijuan Walker SP,3,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Shelby Miller P,5,3,0,0,0,0,0,1,0,1,1,0,.000,.200,.000,.200,-0.1
Kristopher Negron 3B *,2,3,0,1,0,0,0,1,1,0,0,0,.333,.333,.333,.667,0.1
Braden Shipley SP,3,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.1
Troy Scribner SP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jorge De La Rosa RP,41,1,1,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,0.0
Chris Stewart C *,3,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Yoshihisa Hirano RP,70,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Matt Andriese SP,14,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Kris Medlen SP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Fernando Salas RP,39,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5460,693,1283,259,50,176,658,2170,560,1460,79,.235,.310,.397,.707,
