Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Mark Reynolds 1B,155,578,98,150,30,1,44,102,314,76,223,24,.260,.349,.543,.892,3.0
Stephen Drew SS,135,533,71,139,29,12,12,65,228,49,87,5,.261,.320,.428,.748,2.7
Justin Upton LF,138,526,84,158,30,7,26,86,280,55,137,20,.300,.366,.532,.899,3.8
Gerardo Parra CF,120,455,59,132,21,8,5,60,184,25,89,5,.290,.324,.404,.729,0.0
Chris Young CF,134,433,54,92,28,4,15,42,173,59,133,11,.212,.311,.400,.711,-0.2
Miguel Montero C,128,425,61,125,30,0,16,59,203,38,78,1,.294,.355,.478,.832,3.1
Felipe Lopez 2B *,85,345,44,104,18,1,6,25,142,34,59,6,.301,.364,.412,.775,1.1
Ryan Roberts 3B,110,305,41,85,17,2,7,25,127,40,55,7,.279,.367,.416,.783,2.2
Augie Ojeda 2B,103,264,38,65,17,3,1,16,91,32,28,3,.246,.340,.345,.685,1.5
Chad Tracy 3B,98,257,29,61,15,0,8,39,100,26,38,1,.237,.306,.389,.695,-0.9
Eric Byrnes LF,84,239,26,54,14,1,8,31,94,12,30,9,.226,.270,.393,.663,-0.1
Chris Snyder C,61,165,20,33,7,0,6,22,58,32,47,0,.200,.333,.352,.685,-0.3
Alex Romero RF,66,145,14,36,6,2,1,18,49,11,23,2,.248,.306,.338,.644,-0.2
Josh Whitesell 1B,46,108,7,21,7,0,1,14,31,24,29,0,.194,.346,.287,.633,-0.6
Brandon Allen LF,32,104,13,21,7,0,4,14,40,12,40,0,.202,.284,.385,.669,-1.0
Conor Jackson 1B,30,99,8,18,4,0,1,14,25,11,16,5,.182,.264,.253,.516,-0.7
Dan Haren SP,37,73,6,18,5,0,1,10,26,3,22,0,.247,.269,.356,.625,0.6
Trent Oeltjen RF,24,70,11,17,4,1,3,4,32,1,13,3,.243,.250,.457,.707,0.2
Tony Clark 1B,36,66,7,12,4,0,4,11,28,11,24,0,.182,.295,.424,.719,-0.4
Doug Davis SP,34,63,2,10,1,1,0,3,13,0,21,0,.159,.159,.206,.365,0.0
Rusty Ryal 3B,30,59,11,16,6,2,3,9,35,6,21,0,.271,.353,.593,.946,0.6
Jon Garland SP *,28,58,3,6,0,0,0,1,6,1,26,0,.103,.119,.103,.222,-0.4
Max Scherzer SP,31,53,4,12,2,0,0,3,14,3,17,0,.226,.268,.264,.532,0.3
John Hester C,15,28,4,7,2,0,1,4,12,2,7,0,.250,.300,.429,.729,0.0
Yusmeiro Petit RP,23,27,0,1,0,0,0,0,1,1,8,0,.037,.071,.037,.108,-0.2
Josh Wilson SS *,11,26,1,6,1,0,0,2,7,3,3,0,.231,.333,.269,.603,0.0
Billy Buckner SP,16,21,0,5,2,0,0,6,7,0,8,0,.238,.238,.333,.571,0.1
Luke Carlin C,10,18,3,3,0,0,0,1,3,3,3,0,.167,.286,.167,.452,-0.2
Kevin Mulvey SP *,6,7,0,1,0,0,0,0,1,0,3,0,.143,.143,.143,.286,-0.1
Bryan Augenstein RP,7,3,1,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,0.0
Leo Rosales RP,33,3,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Blaine Boyer RP *,30,3,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Brandon Webb SP,1,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Chad Qualls RP,51,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Daniel Cabrera SP *,6,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Tony Pena RP *,37,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Clay Zavada RP,49,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tom Gordon RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jon Rauch RP *,58,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Daniel Schlereth RP,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Schoeneweis RP,45,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Doug Slaten RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Esmerling Vásquez RP,53,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Bobby Korecky RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Gutierrez RP,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5565,720,1408,307,45,173,686,2324,571,1298,102,.253,.324,.418,.742,
