Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Justin Upton LF,159,592,105,171,39,5,31,88,313,59,126,21,.289,.369,.529,.898,5.7
Chris Young CF,156,567,89,134,38,3,20,71,238,80,139,22,.236,.331,.420,.751,4.6
Miguel Montero C,140,493,65,139,36,1,18,86,231,47,97,1,.282,.351,.469,.820,3.8
Ryan Roberts 3B,143,482,86,120,25,2,19,65,206,66,98,18,.249,.341,.427,.768,2.2
Gerardo Parra CF,141,445,55,130,20,8,8,46,190,43,82,15,.292,.357,.427,.784,2.8
Kelly Johnson 2B *,114,430,59,90,23,5,18,49,177,44,132,13,.209,.287,.412,.699,0.5
Willie Bloomquist SS,97,350,44,93,10,2,4,26,119,23,51,20,.266,.317,.340,.657,-0.1
Stephen Drew SS,86,321,44,81,21,5,5,45,127,30,74,4,.252,.317,.396,.713,1.7
Xavier Nady RF,82,206,26,51,11,0,4,35,74,10,46,2,.248,.287,.359,.646,-0.4
Juan Miranda 1B,65,174,18,37,8,2,7,23,70,23,48,0,.213,.315,.402,.717,-0.4
Paul Goldschmidt 1B,48,156,28,39,9,1,8,26,74,20,53,4,.250,.333,.474,.808,0.3
Melvin Mora 3B,42,127,5,29,6,0,0,16,35,2,24,0,.228,.244,.276,.520,-1.2
Aaron Hill 2B *,33,124,23,39,12,2,2,16,61,12,19,5,.315,.386,.492,.878,1.5
Sean Burroughs 3B,78,110,8,30,4,0,1,8,37,3,15,1,.273,.289,.336,.626,-0.3
Henry Blanco C,37,100,12,25,3,1,8,12,54,12,21,0,.250,.330,.540,.870,0.8
Collin Cowgill OF,36,92,8,22,3,0,1,9,28,8,28,4,.239,.300,.304,.604,0.7
Daniel Hudson RP,33,65,5,18,3,0,1,14,24,3,21,0,.277,.309,.369,.678,0.8
Russell Branyan 1B *,31,62,4,13,5,0,1,2,21,7,20,0,.210,.290,.339,.629,-0.1
Ian Kennedy RP,34,61,3,8,3,0,0,4,11,4,24,0,.131,.197,.180,.377,0.0
Joe Saunders SP,33,61,2,12,1,0,0,4,13,2,15,0,.197,.222,.213,.435,0.2
John McDonald 3B *,19,59,2,10,2,0,0,2,12,4,9,0,.169,.222,.203,.426,0.2
Geoff Blum 3B,23,49,8,11,3,0,2,10,20,5,9,0,.224,.309,.408,.717,0.1
Wily Mo Pena LF *,17,46,7,9,0,0,5,7,24,0,19,0,.196,.196,.522,.717,0.0
Lyle Overbay 1B *,18,42,3,12,4,0,1,10,19,6,11,1,.286,.388,.452,.840,0.1
Josh Collmenter RP,31,40,2,6,0,0,0,1,6,2,16,0,.150,.209,.150,.359,0.0
Cody Ransom SS,12,33,3,5,2,0,1,4,10,3,9,1,.152,.243,.303,.546,-0.2
Brandon Allen LF *,11,29,5,5,0,0,3,7,14,7,13,1,.172,.351,.483,.834,0.1
Zach Duke RP,21,20,3,6,0,0,2,6,12,1,7,0,.300,.333,.600,.933,0.4
Micah Owings RP,34,19,2,4,0,0,0,1,4,0,8,0,.211,.211,.211,.421,0.0
Armando Galarraga SP,8,15,0,0,0,0,0,1,0,0,7,0,.000,.000,.000,.000,-0.3
Wade Miley SP,8,13,1,1,0,0,0,1,1,2,2,0,.077,.200,.077,.277,0.0
Barry Enright SP,8,12,1,2,0,0,1,2,5,2,2,0,.167,.286,.417,.702,0.1
Josh Wilson SS *,6,10,3,2,1,0,0,1,3,0,1,0,.200,.200,.300,.500,0.1
Cole Gillespie LF,5,6,2,2,0,0,1,4,5,1,1,0,.333,.429,.833,1.262,0.1
Jason Marquis SP *,3,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Robby Hammock C,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.1
Jarrod Parker SP,1,2,0,1,1,0,0,0,2,0,1,0,.500,.500,1.000,1.500,0.0
Kam Mickolio RP,6,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aaron Heilman RP,32,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
J.J. Putz RP,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Zach Kroenke RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joe Paterson RP,62,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Yhency Brazoban RP,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Esmerling Vásquez RP,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Cook RP,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Gutierrez RP,20,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brad Ziegler RP *,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Sam Demel RP,34,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Hernandez RP,74,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Bryan Shaw RP,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Alberto Castillo RP,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5421,731,1357,293,37,172,702,2240,531,1249,133,.250,.322,.413,.736,
