Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Aubrey Huff 1B,150,521,45,128,27,1,12,59,193,47,90,5,.246,.306,.370,.676,-0.6
Pablo Sandoval 3B,117,426,55,134,26,3,23,70,235,32,63,2,.315,.357,.552,.909,5.9
Cody Ross RF,121,405,54,97,25,0,14,52,164,49,96,5,.240,.325,.405,.730,-0.1
Andres Torres LF,112,348,50,77,24,1,4,19,115,42,95,19,.221,.312,.330,.643,0.7
Nate Schierholtz RF,115,335,42,93,22,1,9,41,144,21,61,7,.278,.326,.430,.756,0.8
Aaron Rowand CF,108,331,34,77,22,2,4,21,115,10,84,2,.233,.274,.347,.621,0.4
Miguel Tejada 2B,91,322,28,77,16,0,4,26,105,12,35,4,.239,.270,.326,.596,-0.2
Freddy Sanchez 2B,60,239,21,69,15,1,3,24,95,13,35,0,.289,.332,.397,.730,0.7
Mike Fontenot 2B,85,220,22,50,15,3,4,21,83,25,48,5,.227,.304,.377,.681,0.3
Jeff Keppinger 2B *,56,216,17,55,11,0,2,15,72,8,17,0,.255,.285,.333,.618,-0.8
Eli Whiteside C,82,213,14,42,8,2,4,17,66,18,59,2,.197,.264,.310,.574,-0.5
Brandon Crawford SS,66,196,22,40,5,2,3,21,58,23,31,1,.204,.288,.296,.584,0.5
Brandon Belt 1B,63,187,21,42,6,1,9,18,77,20,57,3,.225,.306,.412,.718,0.8
Pat Burrell LF,92,183,17,42,9,1,7,21,74,33,67,0,.230,.352,.404,.756,0.9
Carlos Ivan Beltran OF *,44,167,17,54,9,4,7,18,92,11,27,1,.323,.369,.551,.920,1.0
Buster Posey C,45,162,17,46,5,0,4,21,63,18,30,3,.284,.368,.389,.756,1.3
Chris Stewart C,67,162,20,33,8,0,3,10,50,16,18,0,.204,.283,.309,.592,1.4
Emmanuel Burriss LF,59,137,14,28,1,0,0,4,29,6,17,11,.204,.253,.212,.465,-0.3
Orlando Cabrera SS *,39,126,4,28,3,0,1,13,34,4,17,2,.222,.241,.270,.510,-0.2
Mark DeRosa 2B,47,86,9,24,2,0,0,12,26,8,18,1,.279,.351,.302,.653,0.1
Matt Cain SP,35,66,5,9,1,0,1,6,13,3,30,0,.136,.171,.197,.368,0.3
Tim Lincecum RP,33,61,0,5,0,0,0,1,5,3,30,0,.082,.125,.082,.207,-0.3
Madison Bumgarner SP,35,59,5,7,4,0,0,3,11,5,18,0,.119,.188,.186,.374,0.2
Ryan Vogelsong SP,31,53,7,12,1,0,0,2,13,2,15,0,.226,.268,.245,.513,0.5
Brett Pill 1B,15,50,7,15,3,2,2,9,28,2,8,0,.300,.321,.560,.881,0.7
Justin Christian RF,18,47,6,12,5,0,0,4,17,2,8,3,.255,.286,.362,.647,0.4
Bill Hall 3B *,16,38,6,6,2,0,0,1,8,3,8,2,.158,.220,.211,.430,-0.4
Hector Sanchez C,13,31,0,8,2,0,0,1,10,3,6,0,.258,.324,.323,.646,0.0
Jonathan Sanchez SP,19,29,2,6,4,0,0,1,10,1,12,0,.207,.233,.345,.578,0.3
Conor Gillaspie 3B,15,19,2,5,0,0,1,2,8,2,1,0,.263,.333,.421,.754,0.0
Darren Ford CF,26,14,7,4,0,0,0,0,4,1,5,7,.286,.375,.286,.661,0.2
Barry Zito SP,13,13,0,0,0,0,0,0,0,1,5,0,.000,.071,.000,.071,-0.2
Guillermo Mota RP,52,10,0,1,1,0,0,0,2,0,2,0,.100,.100,.200,.300,0.0
Eric Surkamp SP,6,8,0,1,0,0,0,1,1,1,5,0,.125,.222,.125,.347,0.0
Javier Lopez RP,70,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jeremy Affeldt RP,67,1,0,0,0,0,0,0,0,1,1,0,.000,.500,.000,.500,0.0
Steve Edlefsen RP,13,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ryan Rohlinger 3B,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ramon Ramirez RP,66,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Waldis Joaquin RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Joseph Runzler RP,31,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Santiago Casilla RP,49,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Sergio Romo RP,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Wilson RP,57,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5486,570,1327,282,24,121,534,2020,448,1122,85,.242,.303,.368,.671,
