Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Brian Giles RF,158,545,92,164,38,8,15,83,263,119,64,13,.301,.423,.483,.905,4.6
Ryan Klesko 1B,137,443,61,110,19,1,18,58,185,75,80,3,.248,.358,.418,.775,1.5
Khalil Greene SS,121,436,51,109,30,2,15,70,188,25,93,5,.250,.296,.431,.727,0.2
Dave Roberts LF,115,411,65,113,19,10,8,38,176,53,59,23,.275,.356,.428,.784,2.0
Mark Loretta 3B,105,404,54,113,16,1,3,38,140,45,34,8,.280,.360,.347,.707,0.2
Ramon Hernandez C,99,369,36,107,19,2,12,58,166,18,40,1,.290,.322,.450,.772,2.4
Xavier Nady RF,124,326,40,85,15,2,13,43,143,22,67,2,.261,.321,.439,.760,0.3
Sean Burroughs 3B,93,284,20,71,7,2,1,17,85,24,41,4,.250,.318,.299,.618,0.9
Phil Nevin DH *,73,281,31,72,11,1,9,47,112,19,67,1,.256,.301,.399,.699,-0.7
Damian Jackson CF,118,275,44,70,9,0,5,23,94,30,45,15,.255,.335,.342,.677,1.3
Robert Fick 1B,93,230,25,61,10,2,3,30,84,26,33,0,.265,.340,.365,.705,-0.1
Geoff Blum 3B *,78,224,26,54,13,1,5,22,84,24,28,3,.241,.321,.375,.696,0.5
Joe Randa 3B *,58,223,27,57,17,1,4,20,88,14,29,0,.256,.303,.395,.698,0.4
Mark Sweeney 1B,135,221,31,65,12,1,8,40,103,40,58,4,.294,.395,.466,.861,1.8
Eric Young LF,56,142,22,39,9,0,2,12,54,18,12,7,.275,.356,.380,.737,-0.3
Miguel Olivo C *,37,115,16,35,7,1,4,16,56,4,31,6,.304,.341,.487,.828,0.9
Ben Johnson LF,31,75,10,16,8,1,3,13,35,11,23,0,.213,.310,.467,.777,0.1
Miguel Ojeda C *,43,73,6,10,3,1,0,6,15,9,21,1,.137,.232,.205,.437,-0.9
Brian Lawrence SP,33,59,2,5,0,0,0,1,5,2,29,0,.085,.113,.085,.198,-0.4
Jake Peavy SP,30,53,5,10,1,0,0,2,11,4,16,0,.189,.259,.208,.466,0.3
Adam Eaton P,26,46,2,8,0,1,0,2,10,3,18,0,.174,.224,.217,.442,0.2
Woody Williams SP,30,46,3,7,0,0,0,3,7,0,19,1,.152,.149,.152,.301,0.0
Jesse Garcia 2B,16,36,4,6,0,0,2,4,12,3,11,0,.167,.231,.333,.564,-0.1
Paul McAnulty 1B,22,24,4,5,0,0,0,0,5,3,7,1,.208,.321,.208,.530,0.0
Tim Stauffer RP,15,24,1,3,1,0,0,1,4,0,10,0,.125,.125,.167,.292,-0.1
Adam Hyzdu RF *,17,20,1,3,1,0,0,4,4,3,4,1,.150,.250,.200,.450,-0.4
Manny Alexander SS,10,18,0,2,1,0,0,0,3,2,5,0,.111,.238,.167,.405,-0.2
David Ross C *,11,17,2,6,0,1,0,0,8,0,4,0,.353,.389,.471,.859,0.2
Pedro Astacio SP *,12,16,1,1,0,0,0,1,1,1,5,0,.063,.118,.063,.180,-0.2
Chan Ho Park RP *,10,14,2,3,0,0,0,2,3,0,5,0,.214,.214,.214,.429,0.2
Wilson Valdez SS *,9,13,0,3,2,0,0,1,5,2,1,0,.231,.333,.385,.718,0.1
Darrell May RP *,22,9,0,1,0,0,0,0,1,0,5,0,.111,.111,.111,.222,-0.1
Tim Redding RP *,9,8,0,0,0,0,0,0,0,0,5,0,.000,.000,.000,.000,-0.1
Clay Hensley SP,24,6,0,1,1,0,0,0,2,0,3,0,.167,.167,.333,.500,0.0
Dennys Reyes RP,36,5,0,1,0,0,0,0,1,0,2,0,.200,.200,.200,.400,0.0
Chris Hammond RP,55,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Chris Oxspring SP,5,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Linebrink RP,73,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Cassidy RP *,10,1,0,0,0,0,0,0,0,1,1,0,.000,.500,.000,.500,0.0
Craig Andrew Breslow RP,14,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Randy Williams RP *,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Paul Quantrill RP *,22,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Akinori Otsuka RP,66,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Trevor Hoffman RP,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Rudy Seanez RP,57,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Falkenborg RP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5502,684,1416,269,39,130,655,2153,600,977,99,.257,.333,.391,.724,
