Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Wil Myers RF,155,567,80,138,29,3,30,74,263,70,180,20,.243,.328,.464,.792,2.1
Manuel Margot RF,126,487,53,128,18,7,13,39,199,35,106,17,.263,.313,.409,.721,2.5
Yangervis Solarte 3B,128,466,49,119,21,0,18,64,194,37,61,3,.255,.314,.416,.731,1.3
Hunter Renfroe RF,122,445,51,103,25,1,26,58,208,27,140,3,.231,.284,.467,.751,0.8
Cory Spangenberg 3B,129,444,57,117,18,2,13,46,178,34,128,11,.264,.322,.401,.723,-0.1
Austin Hedges C,120,387,36,83,17,0,18,55,154,23,122,4,.214,.262,.398,.660,0.9
Erick Aybar SS,108,333,37,78,15,1,7,22,116,28,57,11,.234,.300,.348,.648,0.2
Jose Pirela LF,83,312,43,90,25,4,10,40,153,27,71,4,.288,.347,.490,.837,2.0
Carlos Asuaje 2B,89,307,28,83,14,1,4,21,111,28,76,0,.270,.334,.362,.696,0.4
Allen Cordoba LF,100,202,17,42,2,2,4,15,60,18,54,2,.208,.282,.297,.579,-0.7
Matt Szczur CF *,104,176,26,40,11,2,3,15,64,32,40,0,.227,.358,.364,.722,0.3
Ryan Schimpf 2B,53,165,24,26,2,0,14,25,70,27,70,0,.158,.284,.424,.709,0.3
Jabari Blash RF,61,164,24,35,6,0,5,16,56,28,66,1,.213,.333,.341,.675,-0.2
Hector Sanchez C,75,137,14,30,4,0,8,25,58,5,41,0,.219,.245,.423,.668,-0.5
Luis Torrens C,56,123,7,20,3,1,0,7,25,12,30,0,.163,.243,.203,.446,-1.1
Franchy Cordero CF,30,92,15,21,3,3,3,9,39,6,44,1,.228,.276,.424,.699,0.2
Travis Jankowski CF,27,75,10,14,2,0,0,1,16,9,28,4,.187,.282,.213,.496,-0.2
Dusty Coleman SS,27,66,6,15,3,0,4,9,30,2,33,1,.227,.268,.455,.722,0.5
Clayton Richard SP,32,57,2,7,1,0,1,4,11,1,31,0,.123,.167,.193,.360,0.1
Jhoulys Chacin SP,34,54,0,12,2,0,0,4,14,0,11,1,.222,.222,.259,.481,0.3
Luis Sardinas SS,29,49,3,8,0,0,0,1,8,4,11,1,.163,.226,.163,.390,-0.4
Chase d'Arnaud 3B *,22,49,5,7,2,0,1,3,12,2,17,5,.143,.176,.245,.421,-0.6
Luis Perdomo RP,29,46,3,5,1,4,0,3,14,1,20,0,.109,.128,.304,.432,0.2
Dinelson Lamet SP,21,35,0,3,0,0,0,0,3,0,22,0,.086,.086,.086,.171,-0.2
Christian Villanueva 3B,12,32,5,11,1,0,4,7,24,0,10,0,.344,.344,.750,1.094,0.6
Travis Wood SP *,12,17,3,4,0,0,2,6,10,0,7,0,.235,.235,.588,.824,0.3
Trevor Cahill SP *,11,13,1,4,1,0,0,2,5,1,3,0,.308,.357,.385,.742,0.3
Jered Weaver SP,9,10,0,0,0,0,0,0,0,0,6,0,.000,.000,.000,.000,-0.2
Rocky Gale C,3,10,1,1,0,0,1,2,4,0,2,0,.100,.100,.400,.500,-0.1
Jordan Lyles SP *,5,8,1,2,0,0,0,3,2,1,3,0,.250,.333,.250,.583,0.1
Christian Bethancourt C,8,7,0,1,0,0,0,0,1,0,3,0,.143,.143,.143,.286,0.0
Craig Stammen RP,60,6,2,3,1,0,0,0,4,2,2,0,.500,.625,.667,1.292,0.3
Jarred Cosart SP,7,4,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Zach Lee RP,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Miguel Diaz RP,31,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.1
Kevin Quackenbush RP,20,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jose Torres RP,62,1,1,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0.1
Kyle Lloyd SP,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brad Hand RP,72,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.1
Dillon Overton SP *,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Buddy Baumann RP,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jake Esch RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tim Melville SP *,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Kyle McGrath RP,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Phil Maton RP,46,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Buchter RP *,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Maurer RP *,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Carter Capps RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Valdez RP *,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Ruiz RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Kirby Yates RP *,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Cory Mazzoni RP,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5356,604,1251,227,31,189,576,2107,460,1499,89,.234,.299,.393,.692,
