Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Mark Loretta 3B,154,620,108,208,47,2,16,76,307,58,45,5,.335,.391,.495,.886,5.8
Brian Giles RF,159,609,97,173,33,7,23,94,289,89,80,10,.284,.374,.475,.849,3.5
Phil Nevin DH,147,547,78,158,31,1,26,105,269,66,121,0,.289,.368,.492,.859,2.8
Sean Burroughs 3B,130,523,76,156,23,3,2,47,191,31,52,5,.298,.348,.365,.713,3.0
Khalil Greene SS,139,484,67,132,31,4,15,65,216,53,94,4,.273,.349,.446,.795,3.0
Jay Payton LF,143,458,57,119,17,4,8,55,168,43,56,2,.260,.326,.367,.693,1.7
Ryan Klesko 1B,127,402,58,117,32,2,9,66,180,73,67,3,.291,.399,.448,.847,1.0
Ramon Hernandez C,111,384,45,106,23,0,18,63,183,35,45,1,.276,.341,.477,.818,2.9
Terrence Long CF,136,288,31,85,19,4,3,28,121,19,51,3,.295,.335,.420,.756,0.8
Miguel Ojeda C,62,156,23,40,3,0,8,26,67,15,34,0,.256,.322,.429,.751,0.7
Rich Aurilia 1B *,51,138,22,35,8,2,2,16,53,15,28,0,.254,.331,.384,.715,0.0
Ramon Vazquez SS,52,115,12,27,3,2,1,13,37,11,24,1,.235,.297,.322,.619,0.0
Kerry Robinson CF,80,92,20,27,4,0,0,5,31,5,8,11,.293,.330,.337,.667,-0.3
Xavier Nady RF,34,77,7,19,4,0,3,9,32,5,13,0,.247,.301,.416,.717,0.0
Freddy Guzman CF,20,76,8,16,3,0,0,5,19,3,13,5,.211,.250,.250,.500,0.4
Jeff Cirillo DH,33,75,12,16,3,0,1,7,22,5,14,0,.213,.259,.293,.553,-0.4
Humberto Quintero C,23,72,7,18,3,0,2,10,27,5,16,0,.250,.295,.375,.670,0.2
Adam Eaton P,38,64,9,13,7,0,0,8,20,6,16,2,.203,.282,.313,.594,0.8
Brian Lawrence SP,36,62,5,6,1,0,0,2,7,3,25,0,.097,.138,.113,.251,-0.1
Brian Buchanan OF *,38,60,7,12,2,0,2,6,20,6,19,0,.200,.279,.333,.613,-0.7
Jake Peavy SP,27,59,5,10,1,0,0,3,11,4,17,0,.169,.222,.186,.409,0.3
David Wells SP,31,57,2,6,0,0,0,3,6,3,24,0,.105,.164,.105,.269,0.1
Ismael Valdez SP *,23,35,4,6,3,0,0,5,9,2,9,0,.171,.211,.257,.468,0.2
Dave Hansen 3B *,29,28,1,4,0,0,0,0,4,3,5,0,.143,.226,.143,.369,-0.6
Alex Gonzalez 1B *,11,23,2,4,1,1,0,3,7,2,6,0,.174,.240,.304,.544,-0.2
Jon Knott LF,9,14,1,3,2,0,0,1,5,1,5,0,.214,.267,.357,.624,0.0
Robert Fick 1B *,13,12,2,2,0,0,0,0,2,2,4,0,.167,.333,.167,.500,0.0
Dennis Tankersley SP,9,8,0,2,0,0,0,1,2,1,4,0,.250,.333,.250,.583,0.1
Justin Germano RP,7,7,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Sterling Hitchcock RP,4,7,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Darren Bragg LF *,9,7,2,1,0,0,0,0,1,2,2,0,.143,.333,.143,.476,0.0
Jay Witasick RP,44,5,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Brian Sweeney RP,7,4,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Scott Linebrink RP,73,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Ricky Stone RP *,27,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Szuminski RP,7,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Akinori Otsuka RP,73,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Trevor Hoffman RP,55,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Marty McLeary RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Antonio Osuna RP,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Blaine Neal RP,40,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Eddie Oropesa RP,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Andy Ashby SP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Bynum RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Puffer P,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Rod Beck RP,26,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Steve Watkins P,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5573,768,1521,304,32,139,722,2306,566,910,52,.273,.342,.414,.756,
