Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jimmy Rollins SS,162,716,139,212,38,20,30,94,380,49,85,41,.296,.344,.531,.875,6.0
Aaron Rowand CF,161,612,105,189,45,0,27,89,315,47,119,6,.309,.374,.515,.889,4.8
Chase Utley 2B,132,530,104,176,48,5,22,103,300,50,89,9,.332,.410,.566,.976,7.7
Ryan Howard 1B,144,529,94,142,26,0,47,136,309,107,199,1,.268,.392,.584,.976,2.8
Pat Burrell LF,155,472,77,121,26,0,30,97,237,114,120,0,.256,.400,.502,.902,1.3
Shane Victorino RF,131,456,78,128,23,3,12,46,193,37,62,37,.281,.347,.423,.770,3.1
Carlos Ruiz C,115,374,42,97,29,2,6,54,148,42,49,6,.259,.340,.396,.735,1.8
Greg Dobbs 1B,142,324,45,88,20,4,10,55,146,29,67,3,.272,.330,.451,.780,0.1
Wes Helms 3B,112,280,21,69,19,0,5,39,103,19,62,0,.246,.297,.368,.665,-0.8
Jayson Werth LF,94,255,43,76,11,3,8,49,117,44,73,7,.298,.404,.459,.863,2.9
Abraham Nunez 2B,136,252,24,59,10,1,0,16,71,30,48,2,.234,.318,.282,.600,-0.9
Tadahito Iguchi 2B *,45,138,22,42,10,0,3,12,61,13,23,6,.304,.361,.442,.803,0.9
Chris Coste C,48,129,15,36,3,0,5,22,54,4,20,0,.279,.311,.419,.730,0.2
Rod Barajas C,48,122,16,28,8,0,4,10,48,21,24,0,.230,.352,.393,.745,-0.1
Michael Bourn CF,105,119,29,33,3,3,1,6,45,13,21,18,.277,.348,.378,.727,0.9
Jamie Moyer SP,34,73,4,9,2,0,0,2,11,2,26,0,.123,.147,.151,.297,-0.3
Cole Hamels SP,30,64,7,9,2,0,0,2,11,2,26,0,.141,.164,.172,.336,-0.1
Adam Eaton P,34,62,4,13,1,0,1,5,17,3,22,0,.210,.246,.274,.520,0.4
Kyle Kendrick SP,20,39,6,6,0,0,0,2,6,3,17,0,.154,.244,.154,.398,0.2
Chris W Roberson LF,28,28,6,8,0,0,0,1,8,1,4,2,.286,.310,.286,.596,0.1
J.D. Durbin RP *,18,19,3,5,1,0,0,0,6,0,5,0,.263,.263,.316,.579,0.1
Jon Lieber RP,14,17,2,1,0,0,0,1,1,4,8,0,.059,.238,.059,.297,0.1
Freddy Garcia SP,11,17,1,4,1,0,0,2,5,2,7,0,.235,.300,.294,.594,0.1
Kyle Lohse SP *,13,16,0,3,0,0,0,1,3,1,5,0,.188,.278,.188,.465,0.2
Pete Laforest C *,14,11,2,1,0,0,0,1,1,2,4,0,.091,.231,.091,.322,-0.2
Russell Branyan 1B *,7,9,2,2,0,0,2,5,8,0,6,0,.222,.222,.889,1.111,0.1
Brett Myers SP,51,6,1,0,0,0,0,0,0,2,4,0,.000,.250,.000,.250,0.0
Geoff Geary RP,57,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Clay Condrey RP,39,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Ryan Madson RP,38,3,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
John Ennis RP,3,3,0,1,0,0,0,0,1,0,1,0,.333,.333,.333,.667,0.0
Zack Segovia SP,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
J.A. Happ SP,1,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Antonio Alfonseca RP,61,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
J.C. Romero RP *,51,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joe Bisenius RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tom Gordon RP,44,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jose Mesa RP *,40,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Yoel Hernandez RP,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Francisco Rosario RP,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Matt Smith RP,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Anderson Garcia RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Zagurski RP,25,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Fabio Castro RP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Kane Davis RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Sanches RP,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5688,892,1558,326,41,213,850,2605,641,1205,138,.274,.354,.458,.812,
