Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jimmy Rollins SS,155,672,100,168,43,5,21,77,284,44,70,31,.250,.296,.423,.719,1.6
Shane Victorino RF,156,620,102,181,39,13,10,62,276,60,71,25,.292,.358,.445,.803,3.5
Ryan Howard 1B,160,616,105,172,37,4,45,141,352,75,186,8,.279,.360,.571,.931,3.5
Pedro Feliz 3B,158,580,62,154,30,2,12,82,224,35,68,0,.266,.308,.386,.694,0.9
Chase Utley 2B,156,571,112,161,28,4,31,93,290,88,110,23,.282,.397,.508,.905,8.0
Jayson Werth LF,159,571,98,153,26,1,36,99,289,91,156,20,.268,.373,.506,.879,4.2
Raul Ibanez RF,134,500,93,136,32,3,34,93,276,56,119,4,.272,.347,.552,.899,2.7
Carlos Ruiz C,107,322,32,82,26,1,9,43,137,47,39,3,.255,.355,.425,.780,2.5
Greg Dobbs 1B,97,154,15,38,6,0,5,20,59,11,29,1,.247,.296,.383,.679,-0.3
Paul Bako C,44,116,12,26,4,0,3,9,39,13,32,0,.224,.308,.336,.644,-0.1
Eric Bruntlett 3B,72,105,15,18,7,0,0,7,25,5,26,2,.171,.224,.238,.462,-1.3
Matt Stairs 1B,99,103,15,20,4,0,5,17,39,23,30,0,.194,.357,.379,.735,0.4
Chris Coste C *,45,102,12,25,8,0,2,8,39,14,27,0,.245,.342,.382,.724,0.1
Ben Francisco LF *,37,97,10,27,9,0,5,13,51,5,24,1,.278,.317,.526,.843,0.2
Cole Hamels SP,32,61,6,9,3,0,0,5,12,1,29,1,.148,.161,.197,.358,0.1
John Mayberry Jr. LF,39,57,8,12,3,0,4,8,27,2,23,0,.211,.250,.474,.724,-0.2
Joe Blanton RP,31,55,4,7,0,0,0,1,7,4,21,0,.127,.200,.127,.327,-0.1
Miguel Cairo 1B,27,45,6,12,2,1,1,2,19,0,4,0,.267,.283,.422,.705,0.3
J.A. Happ SP,35,43,2,4,1,0,0,1,5,1,15,0,.093,.114,.116,.230,-0.3
Jamie Moyer SP,30,42,2,5,0,0,0,2,5,6,21,0,.119,.240,.119,.359,0.1
Cliff Lee SP *,12,33,2,7,2,0,0,1,9,0,13,0,.212,.212,.273,.485,0.1
Brett Myers SP,18,18,2,4,1,0,0,0,5,1,4,0,.222,.263,.278,.541,0.1
Lou Marson C *,7,17,3,4,1,0,0,0,5,3,7,0,.235,.350,.294,.644,0.1
Chan Ho Park RP,45,14,1,2,0,0,1,1,5,3,5,0,.143,.294,.357,.651,0.2
Pedro Martinez SP,9,14,0,1,0,0,0,1,1,1,6,0,.071,.133,.071,.205,-0.1
Andy Tracy 1B,9,12,1,5,0,1,0,1,7,0,3,0,.417,.417,.583,1.000,0.2
Rodrigo Lopez SP,7,9,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Kyle Kendrick SP,9,8,0,2,0,0,0,0,2,0,5,0,.250,.250,.250,.500,0.0
Chad Durbin RP,59,7,0,1,0,0,0,0,1,0,3,0,.143,.143,.143,.286,0.0
Antonio Bastardo RP,6,6,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Paul Hoover C,3,4,0,3,0,0,0,1,3,0,1,0,.750,.750,.750,1.500,0.1
Drew Carpenter SP,3,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jack Taschner RP,24,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Madson RP,79,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Steven Register RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
J.C. Romero RP,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brad Lidge RP,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Walker RP,32,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Sergio Escalona SP,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Clay Condrey RP,45,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Eyre RP,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5578,820,1439,312,35,224,788,2493,589,1155,119,.258,.334,.447,.781,
