Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jimmy Rollins SS,154,637,82,156,33,10,11,60,242,54,103,31,.245,.306,.380,.686,2.2
Pat Burrell LF,157,586,96,165,39,2,37,116,319,89,153,1,.282,.376,.544,.920,4.3
Bobby Abreu RF,157,572,102,176,50,6,20,85,298,104,117,31,.308,.413,.521,.934,5.6
Marlon Anderson LF,145,539,64,139,30,6,8,48,205,42,71,5,.258,.315,.380,.696,1.0
Travis Lee 1B,153,536,55,142,26,2,13,70,211,54,104,5,.265,.331,.394,.725,0.8
Mike Lieberthal C,130,476,46,133,29,2,15,52,211,38,58,0,.279,.349,.443,.792,2.6
Doug Glanville CF,138,422,49,105,16,3,6,29,145,25,57,19,.249,.292,.344,.636,0.1
Scott Rolen 3B *,100,375,52,97,21,4,17,66,177,52,68,5,.259,.358,.472,.830,3.5
Tomas Perez 2B,92,212,22,53,13,1,5,20,83,21,40,1,.250,.319,.392,.711,0.7
Placido Polanco 3B *,53,206,28,61,13,1,4,22,88,14,14,2,.296,.353,.427,.780,2.2
Ricky Ledee LF,96,203,33,46,13,1,8,23,85,35,50,1,.227,.342,.419,.760,1.0
Jeremy Giambi DH *,82,156,32,38,10,0,12,28,84,52,54,0,.244,.435,.538,.974,1.8
Todd Pratt C,39,106,14,33,11,0,3,16,53,24,28,2,.311,.449,.500,.949,1.3
Jason Michaels LF,81,105,16,28,10,3,2,11,50,13,33,1,.267,.347,.476,.823,0.3
Randy Wolf SP,32,59,6,8,4,0,1,4,15,4,24,0,.136,.190,.254,.445,0.2
Vicente Padilla RP,32,58,1,3,1,0,0,5,4,0,31,0,.052,.067,.069,.136,-0.6
Brandon Duckworth SP,30,48,3,9,1,0,0,4,10,5,11,0,.188,.264,.208,.472,0.3
Marlon Byrd RF,10,35,2,8,2,0,1,1,13,1,8,0,.229,.250,.371,.621,-0.2
Joe Roa RP,14,25,1,6,1,0,0,2,7,1,5,0,.240,.259,.280,.539,0.3
Terry Adams RP,46,25,0,2,0,0,0,1,2,3,13,0,.080,.179,.080,.259,0.0
Robert Person RP,17,24,3,2,0,0,2,7,8,2,17,0,.083,.154,.333,.487,0.1
Brett Myers SP,12,23,0,3,1,0,0,1,4,0,9,0,.130,.130,.174,.304,-0.1
John Mabry 1B *,21,21,1,6,0,0,0,3,6,1,5,0,.286,.304,.286,.590,0.0
Dave Hollins 1B,14,17,1,2,0,0,0,0,2,0,3,0,.118,.167,.118,.284,-0.1
Johnny Estrada C,10,17,0,2,1,0,0,2,3,2,2,0,.118,.211,.176,.387,-0.1
Eric Valent RF,7,10,1,2,0,0,0,0,2,0,3,0,.200,.200,.200,.400,-0.2
David Coggin RP,38,8,0,0,0,0,0,0,0,1,6,0,.000,.111,.000,.111,-0.1
Nick Punto 2B,9,6,0,1,0,0,0,0,1,0,3,0,.167,.167,.167,.333,-0.2
Hector Mercado RP,31,4,0,1,0,0,0,0,1,0,2,0,.250,.250,.250,.500,0.0
Rheal Cormier RP,54,3,0,1,0,0,0,0,1,1,0,0,.333,.500,.333,.833,0.1
Eric Junge SP,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Carlos Silva SP,68,2,0,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,0.0
Jose Santiago RP,42,2,0,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,0.0
Doug Nickle RP *,4,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Cliff Politte SP *,13,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jose Mesa RP,74,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Plesac RP *,41,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Timlin RP *,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ricky Bottalico RP,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,161,5523,710,1428,325,41,165,676,2330,640,1095,104,.259,.339,.422,.761,
